RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19061,98854,2626,47298,1632
19103,170389,5980,79923,4563
19155,71174,3427,32849,2049
19153,478629,25421,220599,12010
19013,116867,4465,53627,5148
19011,22298,678,10382,856
19193,76720,3449,34455,4361
19099,32034,1175,14682,1495
19135,5382,164,2459,300
19049,91155,4178,42375,2227
19113,227611,8275,105736,7864
19169,96379,4204,44793,2589
19181,45835,2076,21275,1209
19017,22963,838,10562,1001
19047,12395,383,5361,1290
19045,36092,1475,16642,1333
19101,13198,646,5935,682
19031,17126,513,7985,643
19107,7177,179,3357,284
19161,7840,157,3680,323
19027,19063,508,8789,977
19095,15411,530,7122,637
19183,19012,662,8847,656
19019,17127,558,7995,579
19195,5821,137,2757,170
19033,39913,1452,18462,1537
19081,7942,184,3664,430
19139,35527,1522,15145,3715
19165,10629,243,5088,210
19009,5128,135,2423,147
19191,19305,674,8892,847
19023,13177,383,6197,400
19065,16583,534,7754,541
19127,35673,1693,15801,2378
19147,7066,199,3328,211
19171,15185,571,6920,774
19007,8752,290,4035,392
19097,16164,401,7704,355
19111,23662,926,10655,1426
19067,12581,413,5849,470
19087,15072,502,6540,1490
19021,15824,601,6168,2887
19003,3006,95,1429,53
19015,25969,1025,12125,694
19189,8240,265,3709,557
19173,4474,132,2139,64
19093,4889,139,2181,388
19039,7029,296,3024,685
19163,137205,6148,63069,4919
19069,8072,285,3719,349
19149,18556,614,7958,2026
19197,10534,314,4669,882
19041,13095,382,6179,355
19117,5809,158,2644,363
19179,23950,887,10434,2195
19123,14019,493,6386,754
19129,11042,512,5131,268
19037,9631,243,4366,656
19105,18707,460,8634,979
19029,11646,324,5491,340
19125,24917,876,10985,2071
19157,16846,535,7939,433
19035,9337,229,4382,344
19053,4705,149,2167,222
19167,21359,566,9590,1613
19187,30694,1161,14146,1241
19071,4875,143,2271,190
19043,13228,275,6202,549
19115,7628,261,3186,995
19175,9588,389,4477,245
19121,13329,462,6282,303
19137,8064,293,3628,515
19133,7071,176,3345,205
19005,10420,352,4930,208
19073,7625,325,3403,494
19109,12216,462,5615,524
19063,7377,381,3346,304
19159,4031,95,1949,38
19059,16062,486,7663,250
19141,10730,283,4982,483
19075,11665,377,5421,446
19091,7234,202,3344,344
19151,5336,177,2478,203
19055,13689,344,6265,815
19025,8887,225,4175,312
19083,14068,352,6417,882
19085,10483,406,4867,343
19143,4228,103,1964,197
19051,5001,182,2337,145
19145,12112,483,5573,483
19057,28935,1431,13353,798
19131,8071,178,3856,181
19077,9682,377,4498,309
19079,13995,419,6462,652
19177,4346,115,2022,187
19001,5482,179,2500,303
19185,4074,187,1863,161
19119,6703,116,3214,159
19089,6898,217,3123,435
,84,6,36,6
