County,Series Initiated,Series Completed
Polk,50654,37649
Linn,25028,17845
Johnson,23746,18381
Scott,19700,8689
Black Hawk,19264,8748
Woodbury,12356,5996
Dubuque,11099,9597
Story,10078,5766
Pottawattamie,10031,8439
Dallas,7690,4437
Cerro Gordo,6770,3538
Des Moines,5089,2664
Clinton,4489,1455
Warren,4166,2474
Webster,4051,2520
Muscatine,3364,1060
Plymouth,3356,390
Wapello,3350,1591
Sioux,3314,1344
Marion,3301,1098
Bremer,3248,2831
Jasper,3244,2776
Marshall,3183,1169
Lee,3150,1977
Boone,2625,1822
Jackson,2611,631
Tama,2520,595
Dickinson,2467,760
Poweshiek,2464,459
Fayette,2440,621
Floyd,2300,359
Kossuth,2276,357
Benton,2249,956
Clay,2242,2044
Clayton,2230,695
Mahaska,2169,569
Iowa,2167,432
Winneshiek,2156,939
Washington,2150,539
Cedar,2117,714
Buena Vista,2110,687
Carroll,2029,1789
Buchanan,2008,763
Page,1997,863
Madison,1890,492
Hamilton,1796,625
Crawford,1772,551
Henry,1754,696
Jefferson,1751,615
Jones,1705,719
Cass,1705,606
Allamakee,1683,466
Hardin,1604,827
Butler,1602,434
O'Brien,1569,935
Grundy,1494,524
Shelby,1409,719
Sac,1396,254
Cherokee,1383,607
Louisa,1378,173
Appanoose,1359,431
Mills,1338,722
Union,1326,514
Guthrie,1264,350
Franklin,1244,309
Harrison,1191,435
Mitchell,1173,332
Delaware,1170,796
Wright,1165,631
Calhoun,1155,556
Hancock,1148,367
Emmet,1086,274
Lucas,1052,209
Davis,1046,208
Wayne,1018,397
Lyon,1000,317
Chickasaw,994,318
Greene,959,330
Winnebago,903,439
Palo Alto,887,534
Taylor,876,288
Monroe,834,403
Montgomery,793,530
Pocahontas,763,150
Decatur,748,241
Humboldt,741,379
Adair,707,163
Audubon,678,328
Monona,674,362
Worth,637,227
Osceola,634,173
Clarke,626,297
Ringgold,597,399
Howard,575,387
Fremont,564,270
Van Buren,551,182
Adams,524,249
Keokuk,510,280
Ida,501,415
Out of State,268,3621
