County,Series Initiated,Series Completed
Polk,54838,28039
Linn,24428,14261
Johnson,22362,15937
Scott,18315,7482
Black Hawk,17698,6480
Dubuque,12136,7220
Woodbury,10849,5485
Pottawattamie,10215,6638
Story,9300,4868
Cerro Gordo,6399,3160
Dallas,6340,3562
Des Moines,5464,1917
Webster,3917,2082
Clinton,3869,1415
Warren,3823,1833
Jasper,3578,2009
Marion,3206,1037
Plymouth,3075,390
Sioux,3075,1217
Marshall,2975,997
Wapello,2946,1458
Lee,2901,1676
Bremer,2782,2716
Muscatine,2601,1001
Jackson,2482,539
Boone,2338,1620
Poweshiek,2316,444
Tama,2284,417
Benton,2186,897
Kossuth,2087,350
Dickinson,2072,649
Iowa,2065,431
Washington,2012,460
Clayton,1993,517
Carroll,1989,1687
Mahaska,1958,436
Buena Vista,1957,613
Floyd,1953,339
Cedar,1944,574
Clay,1935,1871
Fayette,1910,521
Buchanan,1890,733
Winneshiek,1834,830
Hamilton,1825,532
Crawford,1721,535
Madison,1682,391
Page,1665,862
Henry,1634,661
Allamakee,1595,418
Jones,1564,618
Butler,1555,200
Jefferson,1507,535
Shelby,1438,508
Mills,1407,582
O'Brien,1403,752
Hardin,1380,811
Cass,1334,602
Mitchell,1263,238
Louisa,1196,153
Harrison,1168,294
Grundy,1165,495
Sac,1151,230
Franklin,1133,257
Hancock,1125,345
Cherokee,1120,603
Union,1116,457
Delaware,1072,773
Chickasaw,1062,248
Wright,1052,610
Lyon,1038,201
Guthrie,987,338
Appanoose,987,419
Davis,971,168
Greene,935,298
Wayne,928,397
Monroe,915,238
Lucas,910,198
Calhoun,897,549
Winnebago,879,328
Taylor,862,122
Montgomery,858,391
Emmet,819,260
Monona,769,260
Humboldt,682,379
Fremont,672,147
Palo Alto,668,498
Adair,666,152
Ida,657,256
Audubon,647,323
Worth,635,148
Ringgold,619,298
Out of State,607,3219
Decatur,587,225
Howard,582,248
Osceola,577,160
Pocahontas,564,150
Clarke,553,251
Keokuk,551,229
Adams,523,127
Van Buren,521,139
