ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,259370,246251,13119
19021,10388,6797,3591
19027,10589,9471,1118
19049,45438,42941,2497
19181,17624,16594,1030
19013,71730,65538,6192
19033,26279,24304,1975
19169,50840,48000,2840
19195,1717,1716,1
19083,7404,6057,1347
19189,4342,3836,506
19155,48111,43244,4867
19139,18431,13456,4975
19009,2101,2000,101
19005,5623,5505,118
19099,14819,13663,1156
19103,92714,88412,4302
19017,13254,11988,1266
19065,10806,9877,929
19061,60947,58723,2224
19041,8335,8037,298
19147,3419,3266,153
19193,46913,41977,4936
19003,1652,1642,10
19173,2208,2186,22
19175,5092,4775,317
19067,7285,6213,1072
19063,4933,4548,385
19035,4855,4569,286
19123,7821,7248,573
19183,7610,7059,551
19179,12746,11799,947
19073,4844,4336,508
19113,127613,118752,8861
19019,6453,6112,341
19101,8175,7201,974
19127,16350,13431,2919
19109,6306,5808,498
19187,17931,16582,1349
19037,3106,2761,345
19011,7861,7397,464
19045,17700,16102,1598
19081,3695,2974,721
19131,4502,4337,165
19029,10448,10017,431
19135,3444,3139,305
19059,7700,7445,255
19159,2065,2059,6
19163,84089,77808,6281
19125,15784,11745,4039
19149,9892,6918,2974
19015,11582,11006,576
19141,5533,5180,353
19091,4263,3868,395
19151,2025,1868,157
19055,5317,4539,778
19031,6407,6120,287
19167,12466,9787,2679
19143,1666,1488,178
19161,3262,3211,51
19069,3671,3417,254
19133,2318,2105,213
19075,4883,4472,411
19171,9036,8052,984
19137,3735,3154,581
19111,13659,11700,1959
19197,6482,4761,1721
19047,7549,5957,1592
19077,4563,4290,273
19093,2078,1575,503
19051,4821,3154,1667
19025,4268,4081,187
19145,7431,6583,848
19057,18236,17514,722
19007,4605,4125,480
19157,9417,8986,431
19191,9024,7962,1062
19023,3969,3792,177
19087,9052,7107,1945
19001,2510,2177,333
19079,7207,6796,411
19095,6234,5613,621
19119,3017,2939,78
19043,6595,5928,667
19117,3742,3336,406
19039,5499,4132,1367
19107,1694,1594,100
19165,5799,5655,144
19185,3255,2870,385
19115,4702,3168,1534
19053,2939,2816,123
19177,1526,1407,119
19121,6944,6783,161
19085,3521,3266,255
,5211,5210,1
19105,6973,6067,906
19097,8147,7887,260
19129,5907,5757,150
19089,2316,2130,186
19071,1695,1597,98
