County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,884025,77802,62085,683,601,82
Linn,379334,28460,23019,363,327,36
Black Hawk,277725,21243,17887,338,308,30
Scott,274037,24978,21539,265,239,26
Johnson,270124,18083,15453,92,84,8
Dubuque,236936,16231,13814,221,200,21
Story,193609,12973,11304,48,42,6
Woodbury,180669,18981,15817,233,214,19
Dallas,160397,14577,12003,102,88,14
Pottawattamie,145980,14685,12115,186,160,26
Marshall,108092,6325,5176,81,70,11
Cerro Gordo,99020,6916,5809,105,88,17
Warren,98084,7677,6207,93,83,10
Webster,91253,6815,5812,103,87,16
Clinton,81806,6896,5776,98,83,15
Lee,78231,5670,4547,84,69,15
Des Moines,74923,6717,5308,84,71,13
Muscatine,73141,6414,5163,109,100,9
Jasper,66228,5755,4733,76,70,6
Wapello,60025,5698,4541,128,123,5
Boone,55628,3428,2853,36,33,3
Sioux,55256,5699,5215,76,73,3
Marion,54787,4872,3995,86,72,14
Buena Vista,54775,5584,4488,42,37,5
Washington,54292,3514,2737,54,50,4
Poweshiek,54185,1979,1651,37,34,3
Bremer,51368,3465,3024,65,55,10
Benton,48520,3471,2762,56,45,11
Hardin,47700,2610,2033,47,36,11
Winneshiek,47346,2285,2029,37,32,5
Fayette,46952,2386,2014,45,40,5
Henry,46657,3712,3179,41,39,2
Plymouth,45705,4760,4096,85,76,9
Carroll,44502,3500,2940,53,44,9
Cedar,41016,2397,2035,25,23,2
Tama,40877,2618,2160,73,69,4
Buchanan,40311,2584,2122,38,31,7
Mahaska,39292,2954,2445,54,49,5
Clay,38703,2693,2213,29,24,5
Iowa,37854,1949,1596,27,25,2
Butler,36019,2024,1794,36,31,5
Delaware,35951,2478,2210,43,38,5
Crawford,34928,3566,2967,44,38,6
Jones,33508,3569,3093,59,52,7
Kossuth,32716,2722,2283,71,62,9
Clayton,32658,2124,1756,58,49,9
Dickinson,32541,2973,2540,47,41,6
Floyd,32210,2163,1704,42,32,10
Jackson,32066,2688,2292,44,40,4
O'Brien,31414,2309,2002,63,58,5
Hamilton,29520,2390,1950,52,47,5
Jefferson,29180,1954,1495,38,31,7
Page,27591,2354,2065,24,21,3
Hancock,27206,1818,1554,36,29,7
Cherokee,26754,1971,1651,40,31,9
Allamakee,26609,1892,1578,52,42,10
Mills,26548,2064,1735,25,22,3
Franklin,26318,1653,1365,24,21,3
Madison,26095,2156,1809,20,16,4
Cass,25893,1741,1429,56,50,6
Harrison,25437,2214,1811,76,71,5
Wright,25235,2310,2008,41,34,7
Sac,25164,1583,1362,22,21,1
Calhoun,24259,1784,1487,13,12,1
Grundy,23976,1705,1429,35,29,6
Palo Alto,23404,1414,1167,27,26,1
Guthrie,23311,1520,1283,32,26,6
Appanoose,23189,1783,1300,49,44,5
Louisa,22890,1713,1365,50,43,7
Mitchell,22613,1593,1295,43,40,3
Winnebago,22419,1841,1519,31,26,5
Shelby,21893,1635,1367,39,35,4
Monona,21633,1067,872,34,32,2
Chickasaw,21515,1498,1314,18,15,3
Union,21384,1594,1304,37,29,8
Howard,20729,1247,1067,22,18,4
Emmet,20350,1634,1352,41,39,2
Lyon,20135,1793,1626,41,37,4
Humboldt,19682,1571,1330,26,23,3
Keokuk,19571,1297,1034,32,31,1
Greene,19016,1098,847,12,11,1
Montgomery,17814,1379,1061,40,38,2
Worth,17104,1026,850,8,7,1
Clarke,17079,1367,1103,26,24,2
Pocahontas,16781,1084,878,23,23,0
Audubon,16300,624,548,14,13,1
Ida,15827,1223,964,38,34,4
Davis,15468,1136,932,25,23,2
Adair,14249,1116,888,34,24,10
Decatur,13333,782,697,10,10,0
Lucas,12915,1026,814,23,18,5
Monroe,12631,1242,1028,33,25,8
Ringgold,12385,646,583,27,21,6
Van Buren,11914,788,616,21,18,3
Osceola,11551,872,800,17,14,3
Taylor,11059,756,688,12,10,2
Wayne,9974,704,571,23,18,5
Fremont,9245,808,689,11,9,2
Adams,7441,438,366,4,4,0
Unknown,5099,26,0,0,0,0
