RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,513549,20238,239843,13625
19161,8126,196,3792,346
19027,19760,449,9139,1033
19013,123687,3936,57125,5501
19017,24121,688,11180,1073
19019,18127,490,8496,645
19103,177205,4664,83777,4987
19195,6133,161,2889,194
19033,42238,1356,19559,1764
19081,8292,186,3815,476
19169,100576,3532,47108,2828
19139,37983,1299,16249,4186
19165,11042,246,5280,236
19009,5336,84,2548,156
19191,20200,458,9421,900
19065,17251,502,8071,607
19061,102642,2317,49254,1817
19147,7355,194,3461,239
19183,19980,594,9330,726
19003,3139,85,1495,64
19173,4682,136,2234,78
19041,13663,386,6435,407
19125,26328,876,11649,2154
19123,14825,493,6752,828
19157,17625,494,8332,467
19099,33939,1040,15644,1611
19073,8028,252,3627,522
19113,239771,6959,112080,8652
19049,97596,3384,45871,2470
19193,82245,3644,36957,4687
19171,16013,548,7296,873
19109,12848,343,5967,571
19187,32482,1228,14916,1422
19011,23431,630,10943,915
19045,38758,1466,17905,1482
19067,13262,400,6142,578
19189,8612,244,3891,586
19131,8417,169,4015,218
19029,12178,340,5733,372
19135,5662,177,2576,333
19127,38274,1312,17122,2718
19063,7633,359,3480,314
19159,4195,103,2026,40
19115,8137,269,3402,1064
19163,146238,5288,67767,5416
19149,19573,609,8419,2126
19059,16675,503,7946,280
19093,5131,138,2288,417
19015,27452,826,12929,768
19141,11159,245,5188,538
19075,12142,403,5621,497
19091,7543,202,3480,381
19151,5619,138,2627,227
19055,14256,343,6526,861
19101,14024,529,6383,729
19005,10782,323,5114,231
19181,48595,1782,22702,1409
19025,9229,250,4312,355
19083,14569,365,6635,934
19069,8496,254,3929,384
19023,13747,361,6467,452
19133,7324,214,3433,244
19085,10893,410,5059,365
19137,8517,335,3824,534
19111,25297,788,11441,1627
19037,10057,252,4537,731
19197,11040,291,4910,929
19179,25515,843,11112,2448
19121,14100,441,6654,351
19143,4396,86,2043,224
19051,5289,177,2471,170
19047,13136,377,5709,1341
19145,12667,494,5815,543
19043,13617,274,6377,589
19057,31008,1359,14367,915
19007,9130,309,4197,427
19107,7510,199,3501,309
19077,10184,305,4764,351
19129,12028,438,5651,288
19021,16996,659,6658,3021
19087,15914,541,6872,1629
19079,14724,420,6809,686
19035,9694,268,4522,382
19001,5697,175,2597,328
19175,10097,350,4734,279
19095,16193,434,7521,717
19167,22286,572,10000,1714
19089,7265,206,3287,485
19119,6894,131,3289,185
19185,4305,131,1997,180
19039,7530,288,3258,726
19155,76624,3046,35689,2200
19117,6106,154,2768,416
19031,17917,470,8386,675
19071,5081,146,2368,199
19053,4953,176,2270,237
19177,4551,134,2094,229
19097,16843,407,8028,380
19105,19495,426,9002,1065
,91,8,39,5
