Age Group Public,RECIP_ID
0 - 11,9
12 - 15,89607
16 - 17,59118
18 - 19,68469
20 - 29,343371
30 - 39,380388
40 - 49,392648
50 - 59,479119
60 - 64,296036
65+,923187
