RECIP_ADDRESS_COUNTY,* Percent Vaccinated by Resident County (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,0.5149022464047527,238928,13457
19161,0.4248534101429894,3786,344
19027,0.5022067939499132,9106,1021
19013,0.4753482488493309,56909,5470
19017,0.4875907748783018,11155,1065
19019,0.430224321133412,8469,641
19103,0.5857813947333598,83587,4948
19195,0.41647473242108115,2881,193
19033,0.5000706713780919,19478,1750
19081,0.40188146754468487,3805,467
19169,0.5127732528805461,46997,2802
19139,0.47515469716857308,16202,4070
19165,0.48018159594901346,5268,232
19009,0.49181222707423585,2548,155
19191,0.5152318543344505,9401,899
19065,0.4407124681933842,8058,602
19061,0.5237640143457574,49165,1803
19147,0.41469727661489988,3451,234
19183,0.45595265194627818,9296,719
19003,0.4308717379233759,1490,62
19173,0.37706257147524915,2231,77
19041,0.4262612387612388,6420,407
19125,0.41382732385047968,11614,2147
19123,0.34134419551934827,6724,818
19157,0.47454604409857328,8314,467
19099,0.4627134597283851,15605,1601
19073,0.4652340234023402,3614,521
19113,0.5305373479308002,111695,8581
19049,0.5152857586166308,45710,2445
19193,0.401883480268071,36774,4663
19171,0.4819627388157114,7271,852
19109,0.43968136096671847,5947,566
19187,0.4535149286987522,14872,1411
19011,0.45989471631897058,10883,911
19045,0.4160546210342674,17839,1478
19067,0.428078250863061,6131,565
19189,0.43133088661386906,3881,585
19131,0.3984507840544115,4003,215
19029,0.473356185727641,5712,364
19135,0.3758920461917737,2571,326
19127,0.5019685539383779,17068,2694
19063,0.4109470026064292,3470,314
19159,0.42112791172864735,2021,40
19115,0.40217489805165387,3381,1057
19163,0.42131222425885986,67524,5339
19149,0.4178416808992334,8398,2122
19059,0.4755475721404566,7929,278
19093,0.3934402332361516,2286,413
19015,0.5204696195776474,12892,762
19141,0.4150367192612521,5176,532
19075,0.4988554610856769,5606,496
19091,0.40186231429169286,3465,376
19151,0.4305786372563831,2625,225
19055,0.4322497207689142,6507,846
19101,0.38720962011478546,6365,719
19005,0.38942061810477099,5099,231
19181,0.46673532040570478,22636,1385
19025,0.4818990484071163,4308,351
19083,0.4487118603822866,6627,932
19069,0.4260178748758689,3912,378
19023,0.4783572269547753,6459,448
19133,0.4248403946604759,3419,241
19085,0.38529432699836288,5050,363
19137,0.43803569627911667,3814,530
19111,0.38613067118281488,11393,1603
19037,0.43869940501131318,4522,713
19197,0.4619487342779812,4885,918
19179,0.3857988504103635,11076,2415
19121,0.4274697025339699,6638,346
19143,0.37915407854984897,2036,223
19051,0.2916666666666667,2460,165
19047,0.41712247324613557,5691,1325
19145,0.41967299927186077,5801,539
19043,0.3962049119607955,6368,585
19057,0.39050991864911335,14310,907
19007,0.3713986801867053,4188,427
19107,0.37068124146008199,3493,305
19077,0.47684535503788946,4753,344
19129,0.3914885167780793,5628,287
19021,0.49159021406727829,6633,3012
19087,0.4242257191540543,6851,1614
19079,0.505584512285927,6787,682
19035,0.4353360035603026,4511,380
19001,0.4079977628635347,2593,325
19095,0.5069204152249135,7494,710
19167,0.33478697460909487,9963,1706
19089,0.4096964402708015,3275,477
19119,0.2943428328370906,3282,178
19185,0.3367489520260829,1991,178
19039,0.4212879191059074,3242,716
19155,0.40471643456429848,35548,2174
19117,0.368953488372093,2758,415
19031,0.48499489987652336,8362,672
19175,0.4087901315252022,4725,279
19071,0.36767241379310347,2361,198
19053,0.3175349428208386,2264,235
19177,0.3268029528676888,2083,219
19097,0.4315036781727455,8010,378
19105,0.48474445142884778,8975,1050
,,38,5
