County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,656273,62250,52175,596,530,66
Linn,275848,21410,19238,328,293,35
Black Hawk,204712,16827,14771,306,283,23
Johnson,200530,14599,13148,80,75,5
Scott,198192,19916,17186,234,214,20
Dubuque,180269,14202,12290,202,188,14
Story,155622,10937,9680,47,41,6
Woodbury,139368,15988,13839,219,201,18
Dallas,122129,12070,10266,96,84,12
Pottawattamie,113894,11605,9844,158,140,18
Marshall,79044,5113,4612,74,66,8
Cerro Gordo,73006,5554,4956,86,72,14
Warren,72429,5941,5143,86,76,10
Webster,66174,5335,4902,91,77,14
Clinton,59744,5755,4981,89,77,12
Des Moines,53597,4715,4259,64,53,11
Muscatine,52247,4837,4210,96,87,9
Lee,51760,3893,3582,55,42,13
Jasper,49337,4387,3869,70,65,5
Wapello,45136,4588,4007,120,116,4
Buena Vista,43426,4852,4099,40,36,4
Sioux,42565,5189,4761,73,70,3
Boone,42450,2740,2442,31,29,2
Poweshiek,40828,1595,1470,33,30,3
Marion,40284,3729,3397,75,64,11
Washington,39040,2630,2366,49,45,4
Bremer,37487,2915,2668,60,51,9
Winneshiek,36967,1992,1820,33,28,5
Plymouth,36591,4226,3651,79,71,8
Benton,35618,2645,2386,55,44,11
Carroll,34976,2977,2668,50,43,7
Henry,34774,2994,2772,37,36,1
Fayette,34033,1904,1762,41,36,5
Hardin,32950,1899,1680,42,34,8
Tama,31435,2184,1965,70,66,4
Mahaska,29552,2331,2117,49,44,5
Buchanan,29460,1967,1759,31,26,5
Cedar,29290,1901,1727,23,21,2
Clay,28543,2181,1866,25,20,5
Iowa,28459,1508,1394,24,22,2
Butler,28308,1705,1559,34,30,4
Delaware,26514,2041,1832,39,35,4
Crawford,26395,2849,2528,39,34,5
Dickinson,25260,2544,2057,43,37,6
Kossuth,25002,2226,1946,61,54,7
Jones,24797,3031,2810,55,51,4
O'Brien,24765,2095,1801,60,55,5
Jackson,24598,2293,2071,42,39,3
Floyd,24297,1706,1450,42,32,10
Clayton,23795,1734,1558,55,46,9
Hamilton,22530,1953,1700,49,45,4
Mills,20665,1730,1492,20,17,3
Page,20493,1946,1797,20,18,2
Allamakee,20388,1540,1417,51,41,10
Harrison,20354,1868,1612,73,69,4
Cherokee,20143,1662,1448,38,30,8
Hancock,20120,1518,1354,34,27,7
Wright,20055,1851,1720,35,28,7
Cass,19928,1414,1260,54,48,6
Jefferson,19672,1417,1266,35,29,6
Madison,19610,1654,1454,19,15,4
Sac,18953,1332,1189,19,19,0
Franklin,18807,1222,1076,21,19,2
Grundy,18586,1424,1296,32,27,5
Palo Alto,17738,1146,1005,22,20,2
Calhoun,17631,1380,1293,11,11,0
Guthrie,17532,1244,1084,28,23,5
Monona,17513,860,750,30,28,2
Mitchell,17147,1362,1194,41,38,3
Appanoose,17077,1429,1192,47,43,4
Chickasaw,16737,1285,1194,15,13,2
Winnebago,16722,1453,1289,31,26,5
Louisa,16572,1324,1190,48,41,7
Union,16404,1319,1171,32,26,6
Shelby,16244,1312,1153,37,33,4
Howard,16214,1065,986,22,18,4
Emmet,16191,1345,1119,40,38,2
Lyon,15026,1535,1434,41,37,4
Keokuk,14979,1008,900,30,30,0
Humboldt,14882,1228,1120,26,23,3
Greene,14261,810,728,10,10,0
Montgomery,13743,1071,934,37,35,2
Clarke,12801,1037,941,23,22,1
Worth,12337,735,664,8,7,1
Pocahontas,12330,875,795,21,21,0
Ida,11933,991,811,33,31,2
Adair,11919,958,793,32,22,10
Audubon,11491,509,466,9,8,1
Pending Investigation,11290,1022,937,0,0,0
Davis,10578,870,748,24,23,1
Decatur,10084,602,574,9,9,0
Ringgold,9344,552,497,22,18,4
Monroe,9337,968,878,28,21,7
Lucas,8938,777,710,22,18,4
Taylor,8229,672,632,12,10,2
Osceola,8207,759,672,16,13,3
Van Buren,8065,579,521,18,15,3
Fremont,7002,633,555,10,8,2
Wayne,6484,556,465,23,18,5
Adams,5304,337,316,4,4,0
