RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,499754,18403,234224,12900
19161,7973,145,3746,336
19027,19438,366,9036,1000
19013,120773,3457,55980,5356
19017,23625,623,10980,1043
19019,17639,428,8291,629
19195,5968,118,2833,184
19033,41159,1151,19161,1686
19081,8121,140,3762,457
19169,98870,3329,46415,2710
19139,37031,1131,15945,4010
19165,10867,208,5218,223
19009,5264,79,2518,149
19191,19869,422,9281,885
19103,174739,4431,82745,4820
19065,16952,416,7981,574
19061,100989,1865,48689,1746
19147,7212,179,3406,221
19183,19538,535,9154,695
19193,79543,2998,35991,4563
19003,3079,72,1473,61
19173,4574,95,2203,73
19041,13400,320,6343,393
19125,25682,680,11438,2126
19123,14442,418,6613,798
19157,17313,438,8211,453
19099,33090,917,15301,1571
19073,7867,213,3571,512
19113,234834,6223,110138,8334
19049,95217,2962,44951,2354
19171,15634,454,7168,844
19109,12598,306,5870,552
19187,31608,958,14645,1360
19011,22936,570,10735,896
19045,37542,1021,17544,1433
19067,12944,327,6049,519
19189,8445,210,3829,577
19131,8238,150,3944,200
19029,11920,266,5650,354
19135,5517,124,2538,317
19127,37270,1178,16749,2594
19063,7510,335,3431,313
19159,4111,75,1998,40
19115,7894,217,3324,1029
19163,142593,4620,66374,5225
19149,19107,464,8276,2091
19059,16368,418,7841,268
19093,5022,113,2255,399
19015,26836,683,12705,742
19141,10965,221,5113,518
19075,11899,316,5556,471
19091,7389,165,3434,356
19151,5508,110,2593,212
19055,14000,283,6438,841
19101,13678,475,6246,711
19005,10622,304,5047,224
19181,47422,1481,22311,1318
19025,9066,188,4270,338
19083,14326,268,6570,918
19069,8311,196,3872,371
19023,13466,296,6368,434
19133,7181,141,3406,228
19085,10680,360,4981,358
19137,8351,278,3774,525
19111,24594,652,11207,1529
19197,10814,235,4837,905
19179,24780,704,10862,2352
19121,13753,338,6543,329
19143,4323,79,2015,214
19051,5155,138,2430,157
19047,12801,296,5595,1315
19145,12423,441,5724,534
19043,13461,225,6331,574
19057,30112,1120,14055,882
19007,8956,237,4151,417
19107,7346,154,3446,300
19077,9970,279,4679,333
19129,11752,381,5546,279
19021,16463,571,6454,2985
19087,15520,429,6759,1573
19079,14373,324,6688,673
19035,9508,227,4460,361
19001,5595,154,2562,317
19037,9842,194,4480,688
19095,15871,393,7396,686
19167,21829,479,9846,1658
19089,7116,146,3254,462
19119,6779,102,3252,173
19185,4210,108,1967,168
19039,7290,230,3179,702
19097,16514,298,7922,372
19155,74482,2629,34868,2118
19117,5944,140,2708,388
19031,17565,406,8248,662
19175,9876,291,4660,264
19071,4988,120,2335,198
19053,4813,128,2227,231
19177,4430,115,2057,201
19105,19141,355,8881,1024
,87,5,38,6
