County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,245494,49382,44375,514,458,56
Linn,105359,18955,17222,303,276,27
Scott,77700,16575,15075,194,182,12
Johnson,71678,12739,11772,66,62,4
Black Hawk,64294,14603,13396,270,254,16
Woodbury,53921,13415,12721,203,189,14
Dubuque,52208,12038,11061,186,175,11
Story,50395,9207,8502,43,38,5
Dallas,48394,9658,8647,84,73,11
Pottawattamie,43227,9509,8754,138,123,15
Warren,25045,4890,4246,67,63,4
Cerro Gordo,21859,4898,4517,77,65,12
Clinton,19953,4814,4384,76,69,7
Webster,19868,4826,4574,83,70,13
Muscatine,19316,4059,3723,87,78,9
Des Moines,19177,4114,3719,55,48,7
Marshall,19063,4493,4176,69,63,6
Jasper,16078,3517,3100,65,61,4
Wapello,15917,3761,3307,103,101,2
Sioux,14453,4677,4467,66,63,3
Lee,14428,3442,3071,47,35,12
Marion,14073,3266,2967,65,57,8
Buena Vista,13770,4028,3869,36,33,3
Boone,12295,2340,2116,27,25,2
Plymouth,12165,3602,3409,75,67,8
Benton,11326,2252,2025,52,42,10
Bremer,11027,2592,2380,53,47,6
Washington,10704,2320,2093,40,38,2
Carroll,10433,2617,2476,45,38,7
Henry,9960,2736,2584,34,34,0
Mahaska,9436,2099,1836,44,39,5
Dickinson,9411,1944,1802,37,31,6
Winneshiek,9042,1718,1483,26,22,4
Jones,9020,2816,2640,53,50,3
Pending Investigation,8871,1119,869,0,0,0
Buchanan,8513,1701,1544,26,24,2
Fayette,8348,1732,1543,28,25,3
Jackson,8163,2041,1866,37,34,3
Cedar,8142,1618,1458,20,19,1
Crawford,8083,2438,2235,34,30,4
Poweshiek,8031,1442,1291,29,27,2
Tama,7729,1968,1790,63,61,2
Clay,7558,1798,1624,25,20,5
Hardin,7517,1638,1506,34,31,3
Wright,7333,1698,1591,30,25,5
Iowa,7331,1342,1198,23,21,2
Delaware,7178,1824,1665,37,33,4
Kossuth,7098,1908,1672,52,46,6
Mills,7096,1438,1330,20,17,3
Jefferson,6979,1254,1168,31,27,4
Floyd,6943,1454,1335,38,30,8
Madison,6872,1351,1151,16,12,4
Hamilton,6769,1688,1536,38,37,1
Butler,6376,1557,1425,30,27,3
Clayton,6310,1574,1464,53,45,8
O'Brien,6068,1755,1627,58,54,4
Union,6026,1159,1057,31,26,5
Harrison,5950,1636,1469,67,63,4
Cass,5739,1221,1076,46,44,2
Winnebago,5523,1262,1140,30,25,5
Page,5507,1544,1426,17,16,1
Allamakee,5451,1358,1220,41,35,6
Appanoose,5427,1184,1048,46,43,3
Cherokee,5420,1421,1341,35,29,6
Hancock,5343,1355,1254,27,22,5
Grundy,5274,1273,1173,30,25,5
Guthrie,5064,1067,994,27,22,5
Mitchell,5000,1184,1116,39,38,1
Louisa,4919,1190,1100,41,34,7
Calhoun,4877,1262,1206,9,9,0
Chickasaw,4853,1160,1105,12,11,1
Sac,4851,1150,1084,17,17,0
Shelby,4828,1114,979,32,29,3
Franklin,4670,1078,980,19,18,1
Emmet,4583,1128,1050,39,37,2
Clarke,4385,894,752,19,19,0
Humboldt,4338,1105,1012,22,19,3
Lyon,4200,1416,1309,40,36,4
Palo Alto,4058,962,880,18,17,1
Howard,4039,948,792,20,16,4
Montgomery,4035,945,804,35,33,2
Greene,3743,716,673,8,8,0
Keokuk,3725,889,816,28,28,0
Lucas,3424,685,633,18,15,3
Monona,3412,742,628,22,21,1
Worth,3333,639,584,4,3,1
Adair,3254,724,658,25,19,6
Decatur,3208,531,479,7,7,0
Pocahontas,3202,802,756,18,18,0
Monroe,3049,863,780,27,21,6
Davis,2968,737,666,23,22,1
Ida,2948,799,699,31,30,1
Van Buren,2453,527,477,17,14,3
Fremont,2422,539,494,9,7,2
Audubon,2346,449,400,9,8,1
Taylor,2326,626,583,11,9,2
Osceola,2207,656,620,13,11,2
Ringgold,2178,488,428,16,15,1
Wayne,2000,436,394,21,17,4
Adams,1438,313,290,3,3,0
