County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,244835,49216,44085,514,458,56
Linn,105132,18914,17175,301,274,27
Scott,77545,16535,15013,191,180,11
Johnson,71513,12699,11706,65,61,4
Black Hawk,64159,14569,13344,267,251,16
Woodbury,53843,13398,12677,202,188,14
Dubuque,52113,11998,11020,187,176,11
Story,50290,9183,8466,43,38,5
Dallas,48250,9610,8596,84,73,11
Pottawattamie,43161,9485,8711,136,122,14
Warren,24998,4875,4215,66,62,4
Cerro Gordo,21779,4882,4500,77,65,12
Clinton,19903,4802,4369,76,69,7
Webster,19833,4814,4569,83,70,13
Muscatine,19286,4051,3710,85,76,9
Des Moines,19116,4094,3708,55,48,7
Marshall,19014,4482,4168,68,63,5
Jasper,16050,3476,3082,64,60,4
Wapello,15710,3708,3275,103,101,2
Sioux,14423,4672,4462,66,63,3
Lee,14376,3428,3052,47,35,12
Marion,14032,3261,2944,65,57,8
Buena Vista,13746,4026,3854,36,33,3
Boone,12267,2327,2101,27,25,2
Plymouth,12146,3596,3403,74,67,7
Benton,11294,2233,2016,52,42,10
Bremer,11010,2582,2370,52,46,6
Washington,10680,2310,2077,40,38,2
Carroll,10411,2612,2467,45,38,7
Henry,9937,2734,2575,33,33,0
Mahaska,9405,2094,1832,44,39,5
Dickinson,9383,1932,1798,37,31,6
Jones,9009,2816,2637,53,50,3
Winneshiek,9003,1703,1472,26,22,4
Pending Investigation,8891,1091,862,0,0,0
Buchanan,8487,1694,1539,26,24,2
Fayette,8328,1726,1534,28,25,3
Jackson,8144,2033,1855,37,34,3
Cedar,8126,1616,1446,20,19,1
Crawford,8055,2425,2227,34,30,4
Poweshiek,8019,1438,1283,28,26,2
Tama,7713,1965,1784,63,61,2
Clay,7538,1787,1620,25,20,5
Hardin,7501,1636,1502,34,31,3
Wright,7320,1696,1585,30,25,5
Iowa,7318,1340,1194,23,21,2
Delaware,7161,1821,1660,37,33,4
Kossuth,7088,1904,1659,52,46,6
Mills,7083,1431,1329,20,17,3
Jefferson,6957,1252,1161,31,27,4
Floyd,6931,1449,1332,38,30,8
Madison,6852,1346,1135,15,11,4
Hamilton,6741,1677,1531,38,37,1
Butler,6355,1555,1422,29,26,3
Clayton,6297,1573,1460,53,45,8
O'Brien,6055,1754,1623,58,54,4
Union,6019,1157,1055,31,26,5
Harrison,5940,1636,1460,67,63,4
Cass,5716,1211,1070,46,44,2
Winnebago,5511,1260,1137,30,25,5
Page,5503,1543,1422,17,16,1
Allamakee,5432,1355,1216,41,35,6
Cherokee,5411,1421,1334,35,29,6
Appanoose,5385,1163,1038,45,43,2
Hancock,5338,1355,1252,26,21,5
Grundy,5256,1264,1169,30,25,5
Guthrie,5053,1065,988,27,22,5
Mitchell,4996,1183,1111,39,38,1
Louisa,4916,1188,1096,41,34,7
Calhoun,4866,1259,1205,9,9,0
Chickasaw,4843,1157,1102,12,11,1
Sac,4841,1150,1078,17,17,0
Shelby,4812,1114,975,32,29,3
Franklin,4660,1076,972,19,18,1
Emmet,4576,1127,1043,39,37,2
Clarke,4360,889,745,18,18,0
Humboldt,4324,1100,1008,22,19,3
Lyon,4193,1415,1300,40,36,4
Palo Alto,4056,961,877,18,17,1
Montgomery,4031,944,798,34,32,2
Howard,4028,943,788,20,16,4
Greene,3736,715,667,8,8,0
Keokuk,3698,885,813,28,28,0
Lucas,3414,685,628,17,14,3
Monona,3404,739,619,22,21,1
Worth,3321,639,581,4,3,1
Adair,3248,721,653,25,19,6
Decatur,3201,526,475,7,7,0
Pocahontas,3194,799,756,17,17,0
Monroe,3039,860,771,26,21,5
Davis,2947,732,666,23,22,1
Ida,2944,797,697,31,30,1
Van Buren,2445,527,474,17,14,3
Fremont,2420,538,491,9,7,2
Audubon,2341,446,396,9,8,1
Taylor,2323,625,580,11,9,2
Osceola,2206,656,620,13,11,2
Ringgold,2169,484,424,16,15,1
Wayne,1994,433,392,21,17,4
Adams,1433,313,289,3,3,0
