ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19061,118831,3666,56670,2023
19193,87995,4205,39762,4676
19155,92058,4609,40873,4774
19099,27944,895,13078,1087
19049,85974,3748,40668,2310
19153,496820,28831,228438,11415
19103,179902,7243,84497,4022
19045,33206,1600,15033,1455
19191,16620,770,7449,977
19113,242709,9161,113292,8218
19013,136118,5353,62302,5928
19179,24295,952,11239,748
19181,33998,1515,15864,921
19169,98627,5050,45873,2637
19047,13372,368,5703,1573
19101,15279,721,6816,928
19021,17037,640,6414,3476
19027,20041,623,9088,1070
19033,50358,2124,23222,1722
19195,3403,71,1667,1
19083,13400,288,5877,1305
19189,8159,255,3698,488
19139,31562,1281,12679,4794
19009,4046,76,1936,101
19005,11222,322,5393,106
19011,15209,387,7182,447
19017,25056,1005,11439,1180
19023,7808,92,3769,160
19065,20736,514,9654,894
19171,17333,724,7799,969
19041,16326,502,7823,237
19105,12966,301,5877,861
19147,6693,164,3177,145
19007,8870,281,4016,464
19111,25218,978,11103,1795
19067,13352,309,6011,1001
19097,15933,351,7676,246
19087,16132,465,6888,1840
19019,12403,309,5895,306
19057,35739,1989,16515,683
19003,3508,96,1610,8
19093,3643,113,1524,485
19015,22314,809,10514,526
19107,3262,36,1564,100
19173,4427,98,2143,17
19175,9647,414,4524,276
19163,161795,7794,73456,5867
19069,7041,209,3292,236
19081,6634,104,2912,706
19149,16719,455,6668,2891
19141,10609,326,4977,320
19197,11117,366,4539,1692
19063,9955,578,4446,368
19129,10864,589,5058,142
19127,28890,1366,12477,2662
19095,11781,273,5446,594
19035,9372,220,4449,245
19029,20707,504,9786,414
19123,15043,485,7004,503
19183,14582,589,6737,514
19053,5887,164,2756,118
19167,22129,558,9473,2613
19187,34676,1460,15871,1200
19071,3315,72,1573,96
19043,12608,205,5857,644
19039,9551,298,3946,1351
19115,7872,150,3112,1519
19157,18187,527,8675,407
19121,13771,309,6624,151
19137,6922,278,3026,565
19133,4371,102,2049,187
19073,9193,303,4162,493
19109,12030,462,5529,469
19037,5859,111,2715,326
19135,6557,186,3032,274
19059,15127,491,7200,230
19159,4155,95,2001,4
19125,27489,856,11249,3983
19091,8291,247,3764,371
19151,3863,81,1817,144
19055,9731,269,4374,752
19031,12433,280,5958,270
19143,3097,50,1445,159
19161,6544,107,3187,45
19075,9415,345,4342,373
19077,8835,229,4174,238
19051,8095,169,3124,1654
19025,8399,91,4054,169
19145,14182,619,6386,761
19131,8778,155,4232,140
19001,4695,143,2144,327
19079,14054,282,6609,401
19177,2970,75,1394,105
19089,4328,169,2005,164
19085,6947,272,3215,234
19165,11403,260,5489,119
19185,6312,183,2828,370
,10367,246,5210,1
19119,6002,99,2911,70
19117,7124,176,3240,376
