RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19113,229054,7834,106638,7944
19169,96895,3959,45162,2612
19167,21446,533,9647,1619
19099,32287,1094,14835,1523
19165,10688,238,5117,216
19033,40195,1349,18641,1564
19131,8090,176,3865,184
19195,5839,132,2768,171
19183,19133,592,8937,667
19155,72126,3368,33351,2056
19103,171106,5726,80393,4594
19083,14131,321,6461,888
19153,483191,23867,223556,12212
19031,17235,499,8044,648
19045,36365,1386,16811,1357
19049,91964,3916,42892,2264
19055,13758,337,6301,819
19017,23101,770,10658,1015
19023,13234,354,6238,404
19163,138364,5744,63823,4974
19175,9684,355,4541,247
19009,5156,126,2441,148
19095,15483,516,7162,643
19173,4504,109,2164,67
19111,23829,896,10745,1443
19041,13169,361,6223,362
19029,11722,304,5537,344
19141,10820,250,5039,492
19061,99436,2310,47738,1650
19097,16253,346,7774,359
19193,77323,3329,34802,4390
19139,35774,1456,15292,3734
19073,7678,298,3442,496
19081,7978,171,3686,435
19181,46187,1932,21512,1231
19127,36124,1481,16112,2419
19105,18775,437,8679,980
19021,15974,589,6234,2917
19125,25072,801,11094,2083
19003,3025,89,1441,54
19057,29144,1385,13476,807
19047,12495,351,5426,1292
19191,19421,591,8989,852
19123,14090,470,6432,756
19053,4723,138,2181,223
19013,117488,4280,54015,5178
19011,22422,651,10452,867
19117,5855,140,2672,371
19189,8287,238,3743,563
19145,12182,455,5619,489
19109,12303,424,5675,529
19007,8797,285,4055,402
19085,10560,382,4915,348
19187,30932,1090,14273,1296
19019,17216,524,8055,582
19179,24163,836,10535,2257
19115,7680,258,3211,1000
19059,16115,471,7696,252
19137,8175,287,3685,518
19079,14088,396,6518,656
19043,13289,252,6240,557
19161,7880,149,3700,331
19075,11741,344,5472,453
19027,19125,478,8832,983
19065,16658,503,7805,545
19147,7107,188,3353,213
19157,16929,529,7983,434
19171,15274,529,6984,777
19015,26103,971,12216,700
19067,12666,391,5899,477
19001,5501,173,2512,304
19025,8923,216,4196,315
19037,9664,237,4383,661
19135,5433,140,2495,303
19063,7405,373,3363,306
19159,4053,79,1968,38
19149,18694,562,8044,2044
19093,4912,140,2190,392
19091,7263,192,3363,345
19151,5361,172,2492,205
19101,13334,554,6046,688
19005,10459,343,4953,210
19069,8135,236,3773,353
19133,7106,143,3377,209
19197,10599,275,4718,888
19121,13464,405,6376,307
19143,4246,98,1975,198
19051,5027,175,2351,150
19107,7219,172,3381,285
19077,9742,353,4539,311
19129,11512,418,5412,270
19035,9373,227,4399,348
19087,15151,489,6581,1500
19185,4094,181,1875,163
19071,4939,129,2308,194
19177,4361,116,2026,193
19039,7079,278,3057,687
19089,6925,194,3147,437
19119,6715,117,3219,160
,85,5,37,6
