County,Number of Doses
Polk,772622
Linn,357112
Johnson,259965
Scott,222474
Black Hawk,182678
Dubuque,149266
Dallas,148486
Story,146799
Woodbury,120666
Pottawattamie,114902
Warren,72627
Cerro Gordo,62498
Marshall,57769
Clinton,57196
Muscatine,56397
Jasper,50888
Webster,47556
Des Moines,46868
Marion,40237
Boone,39663
Wapello,37963
Lee,37648
Bremer,35701
Benton,34829
Sioux,31648
Winneshiek,30595
Plymouth,29260
Washington,29106
Carroll,28833
Jones,28587
Buchanan,26808
Buena Vista,26517
Poweshiek,26492
Cedar,26352
Fayette,25638
Jackson,25137
Henry,24240
Dickinson,24169
Iowa,23875
Tama,23690
Mahaska,22447
Hamilton,21852
Hardin,21822
Delaware,21589
Madison,20838
Jefferson,20495
Clay,20104
Butler,20029
Floyd,19885
Crawford,19705
Page,18943
Clayton,18894
Kossuth,18190
Cass,17860
Grundy,17739
Mills,17324
Wright,16491
O'Brien,16118
Allamakee,16107
Shelby,16104
Harrison,15350
Chickasaw,15222
Union,15017
Guthrie,14827
Cherokee,14158
Appanoose,13663
Calhoun,13637
Montgomery,12681
Mitchell,12634
Franklin,12590
Winnebago,12521
Louisa,12275
Hancock,12261
Sac,12096
Greene,11996
Clarke,11389
Emmet,11072
Humboldt,11062
Howard,11054
Keokuk,10973
Palo Alto,10646
Monona,10400
Lyon,9735
Worth,9209
Lucas,9168
Adair,8483
Monroe,8240
Pocahontas,8183
Audubon,7693
Ida,7689
Davis,7646
Decatur,7522
Fremont,7208
Van Buren,6888
Taylor,6876
Ringgold,6526
Wayne,6513
Osceola,6219
Adams,4835
.,164
