RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,253188,239587,13601
19161,4135,3790,345
19027,10151,9120,1031
19013,62562,57069,5493
19017,12246,11174,1072
19019,9136,8491,645
19103,88702,83737,4965
19195,3078,2884,194
19033,21294,19533,1761
19081,4290,3814,476
19169,49912,47087,2825
19139,20420,16234,4186
19165,5514,5280,234
19009,2704,2548,156
19191,10312,9412,900
19065,8668,8063,605
19061,51038,49228,1810
19147,3695,3458,237
19183,10047,9322,725
19003,1559,1495,64
19173,2310,2233,77
19041,6840,6433,407
19125,13792,11640,2152
19123,7565,6737,828
19157,8795,8328,467
19099,17246,15636,1610
19073,4145,3623,522
19113,120612,111974,8638
19049,48298,45830,2468
19193,41609,36923,4686
19171,8162,7289,873
19109,6530,5960,570
19187,16328,14908,1420
19011,11849,10935,914
19045,19382,17900,1482
19067,6713,6140,573
19189,4473,3888,585
19131,4233,4015,218
19029,6104,5732,372
19135,2907,2575,332
19127,19822,17109,2713
19063,3790,3476,314
19159,2066,2026,40
19115,4460,3400,1060
19163,73106,67702,5404
19149,10539,8415,2124
19059,8224,7944,280
19093,2704,2287,417
19015,13686,12918,768
19141,5720,5185,535
19075,6114,5617,497
19091,3857,3477,380
19151,2854,2627,227
19055,7372,6522,850
19101,7105,6378,727
19005,5343,5112,231
19181,24083,22679,1404
19025,4663,4311,352
19083,7566,6633,933
19069,4310,3926,384
19023,6917,6465,452
19133,3676,3432,244
19085,5420,5055,365
19137,4355,3822,533
19111,13060,11434,1626
19037,5256,4532,724
19197,5824,4899,925
19179,13555,11109,2446
19121,6995,6646,349
19143,2264,2040,224
19051,2638,2468,170
19047,7045,5705,1340
19145,6355,5812,543
19043,6963,6376,587
19057,15254,14341,913
19007,4623,4196,427
19107,3806,3498,308
19077,5113,4764,349
19129,5936,5648,288
19021,9671,6650,3021
19087,8483,6864,1619
19079,7488,6802,686
19035,4899,4518,381
19001,2926,2598,328
19175,5011,4732,279
19095,8229,7516,713
19167,11708,9997,1711
19089,3767,3284,483
19119,3466,3284,182
19185,2177,1997,180
19039,3980,3255,725
19155,37856,35661,2195
19117,3178,2762,416
19031,9056,8381,675
19071,2564,2366,198
19053,2507,2270,237
19177,2321,2093,228
19097,8403,8023,380
19105,10056,9000,1056
,44,39,5
