County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,42591,188414,8858,428184
Linn,17023,95468,7251,213897
Johnson,11029,74374,3421,162798
Scott,9732,64370,4702,144458
Story,8401,38515,1939,86452
Black Hawk,7064,55656,5135,123816
Dallas,6878,33364,1694,73981
Pottawattamie,5992,35767,4517,82979
Dubuque,4833,52288,1602,110814
Woodbury,4727,35939,4151,80342
Cerro Gordo,2637,21064,1307,46138
Clinton,2543,12703,1179,29210
Warren,2530,13872,675,30761
Webster,2215,14039,952,31479
Des Moines,2136,15047,597,32853
Marshall,2031,10522,2548,25553
Muscatine,1970,10822,4281,28015
Jasper,1935,11096,756,24699
Wapello,1384,9968,475,21906
Bremer,1332,10451,1053,23269
Boone,1265,9321,389,20230
Page,1229,5483,645,12853
Poweshiek,1190,7467,195,16276
Marion,1184,10287,3812,25709
Lee,1177,10062,1321,22884
Tama,1126,6515,956,15067
Jones,1115,4698,701,11260
Winneshiek,962,6533,795,14839
Jefferson,946,6070,816,13909
Henry,908,6144,1358,14606
Sioux,894,8650,2473,20683
Washington,888,5954,454,13261
Mahaska,782,6337,340,13843
Buena Vista,771,5666,3176,15368
Carroll,768,8416,942,18686
Mills,724,4656,100,10156
Benton,675,6612,399,14295
Fayette,667,9157,848,19849
Emmet,657,4227,319,9531
Madison,615,6111,120,13001
Clay,612,7269,130,15242
Cass,572,9352,301,19789
Dickinson,544,6750,168,14222
Floyd,541,5499,840,12395
Calhoun,509,3612,142,7896
Kossuth,494,5181,381,11291
Hamilton,485,6113,374,13233
Allamakee,469,5081,74,10708
Plymouth,469,6224,2818,15771
Union,465,4149,180,8855
Buchanan,439,5499,233,11663
Grundy,433,4020,247,8726
Crawford,430,5273,1501,12502
Delaware,429,3969,672,9017
Harrison,421,3013,204,6660
Jackson,418,7255,180,15093
Mitchell,413,3818,82,8147
Cedar,403,5601,238,11820
Hardin,399,5429,1212,12522
Appanoose,395,3768,426,8444
Guthrie,394,3724,195,8051
Wright,384,4145,1547,10202
Hancock,376,2552,600,6080
Montgomery,369,2771,524,6465
Cherokee,365,4154,203,8881
O'Brien,361,4645,261,9921
Greene,358,3903,422,8660
Shelby,339,5188,80,10841
Clarke,337,3615,1310,8887
Iowa,328,5196,510,11245
Clayton,322,5659,615,12293
Humboldt,295,3586,332,7938
Monona,293,1757,116,3910
Winnebago,286,3467,422,7664
Lyon,281,2709,42,5736
Out of State,250,4254,0,8448
Butler,246,3605,113,7576
Wayne,241,2712,346,6105
Lucas,235,2991,343,6652
Louisa,229,2938,1498,7581
Palo Alto,220,3024,115,6416
Franklin,219,3151,204,6735
Monroe,211,2799,221,6059
Decatur,207,2639,105,5677
Adair,195,1971,295,4362
Chickasaw,181,2575,298,5623
Davis,179,2972,1620,7773
Howard,179,1886,135,4070
Worth,156,1531,0,3214
Sac,152,3132,34,6466
Ringgold,146,1866,1,3925
Ida,144,1426,457,3452
Taylor,135,2063,9,4293
Fremont,127,1473,78,3150
Pocahontas,126,1722,140,3712
Van Buren,122,1331,88,2873
Adams,117,1556,2,3404
Keokuk,114,1445,100,3104
Osceola,93,1356,129,2934
Audubon,73,1875,101,3921
