County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,707757,64694,55036,622,548,74
Linn,297452,22150,19836,334,298,36
Black Hawk,218278,17246,15180,308,285,23
Scott,215736,21309,18561,240,217,23
Johnson,214825,15301,13787,83,77,6
Dubuque,194645,14621,12827,209,193,16
Story,164468,11337,10191,48,42,6
Woodbury,148989,16393,14602,228,209,19
Dallas,130335,12472,10748,98,85,13
Pottawattamie,122046,12189,10496,168,148,20
Marshall,83793,5182,4694,75,67,8
Warren,78901,6241,5416,88,78,10
Cerro Gordo,77946,5793,5102,89,74,15
Webster,69513,5399,4970,93,78,15
Clinton,64741,5999,5232,92,79,13
Des Moines,57259,4892,4342,66,55,11
Muscatine,56808,5091,4474,99,90,9
Lee,54773,3983,3627,55,42,13
Jasper,52987,4521,4036,71,66,5
Wapello,47892,4653,4126,122,118,4
Sioux,46754,5311,4960,74,70,4
Poweshiek,45760,1623,1495,33,30,3
Buena Vista,45659,4894,4174,40,36,4
Boone,45013,2813,2535,34,31,3
Marion,43160,3816,3482,75,64,11
Washington,42186,2704,2432,50,46,4
Winneshiek,40840,2049,1893,34,29,5
Bremer,39992,2964,2720,60,51,9
Plymouth,38975,4306,3869,80,72,8
Benton,37878,2713,2440,55,44,11
Carroll,37236,3066,2726,52,43,9
Fayette,37004,1927,1791,41,36,5
Henry,36872,3055,2817,37,36,1
Hardin,35574,1979,1750,43,34,9
Tama,33143,2219,1990,71,67,4
Cedar,31974,1983,1798,23,21,2
Mahaska,31967,2406,2177,51,46,5
Buchanan,31853,2010,1844,31,26,5
Clay,31248,2255,2065,25,20,5
Iowa,30216,1544,1429,24,22,2
Butler,29961,1739,1585,34,30,4
Delaware,29327,2126,1971,40,36,4
Crawford,28470,2902,2578,40,35,5
Dickinson,27322,2667,2349,43,37,6
Jones,27058,3095,2869,57,51,6
Kossuth,26723,2272,2058,64,56,8
O'Brien,26620,2144,1894,60,55,5
Floyd,26209,1777,1503,42,32,10
Jackson,26158,2341,2136,42,39,3
Clayton,25660,1781,1607,56,47,9
Hamilton,23729,1981,1729,49,45,4
Hancock,21844,1571,1395,34,27,7
Page,21801,1993,1873,22,20,2
Harrison,21739,1926,1675,73,69,4
Allamakee,21706,1563,1443,51,41,10
Mills,21631,1785,1561,22,19,3
Cherokee,21211,1685,1524,38,30,8
Madison,21170,1755,1507,19,15,4
Cass,21068,1462,1291,54,48,6
Wright,21066,1911,1759,36,29,7
Jefferson,20885,1440,1280,35,29,6
Sac,20705,1384,1242,19,19,0
Franklin,19928,1282,1101,21,19,2
Grundy,19620,1442,1317,33,27,6
Palo Alto,19216,1182,1073,23,22,1
Guthrie,18913,1290,1150,29,24,5
Calhoun,18773,1423,1318,13,12,1
Monona,18424,883,778,30,28,2
Appanoose,18365,1454,1215,49,44,5
Mitchell,18206,1370,1221,42,39,3
Winnebago,17907,1522,1323,31,26,5
Chickasaw,17870,1306,1212,15,13,2
Shelby,17715,1365,1237,37,33,4
Louisa,17644,1342,1218,49,42,7
Union,17576,1361,1201,33,26,7
Emmet,17379,1416,1234,40,38,2
Howard,17161,1088,1005,22,18,4
Lyon,16822,1582,1497,41,37,4
Keokuk,16017,1025,915,31,31,0
Humboldt,15663,1237,1155,26,23,3
Greene,15209,824,754,10,10,0
Montgomery,14599,1109,964,38,36,2
Clarke,13698,1056,959,24,22,2
Pocahontas,13529,896,817,22,22,0
Worth,13414,786,697,8,7,1
Ida,12774,1013,851,34,32,2
Adair,12451,983,811,32,22,10
Audubon,12417,526,480,10,9,1
Davis,11402,896,775,24,23,1
Decatur,10553,621,586,9,9,0
Ringgold,10115,575,527,24,18,6
Monroe,9915,994,906,29,22,7
Pending Investigation,9722,1003,934,0,0,0
Lucas,9574,800,729,23,18,5
Osceola,9246,810,724,16,13,3
Taylor,8856,680,641,12,10,2
Van Buren,8632,582,540,18,15,3
Fremont,7449,657,602,9,7,2
Wayne,7292,577,493,23,18,5
Adams,5763,349,325,4,4,0
