Age Group Public,RECIP_ID
0 - 11,16
12 - 15,108397
16 - 17,65617
18 - 19,73642
20 - 29,360444
30 - 39,396577
40 - 49,407082
50 - 59,492995
60 - 64,301944
65+,931278
