County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,22580,249615,13717,535136
Linn,7702,119906,9056,255312
Scott,6656,78770,6422,171848
Johnson,5821,89124,4355,188070
Black Hawk,4669,66363,6274,143870
Woodbury,4339,42574,5003,94065
Story,4323,48492,2944,103443
Pottawattamie,4148,43739,4939,97485
Dallas,3423,43490,2580,91599
Dubuque,3293,59172,2261,123702
Cerro Gordo,2030,24548,2027,53226
Des Moines,1825,17721,731,38050
Clinton,1656,16359,1627,36078
Webster,1511,16748,1380,36664
Warren,1272,16747,1073,35668
Muscatine,1112,13621,5051,33524
Marshall,1063,13668,2993,31265
Lee,949,11849,2029,26911
Wapello,875,11947,994,25883
Marion,873,11861,4043,28786
Bremer,831,12106,1297,26340
Jasper,773,13815,1171,29368
Buena Vista,680,6930,3604,18241
Page,632,6656,853,14827
Jefferson,621,7282,995,16173
Boone,604,11153,583,23437
Sioux,561,9883,2714,23049
Carroll,557,9552,1143,20980
Emmet,551,4575,387,10208
Washington,547,7140,559,15397
Tama,545,8111,984,17841
Dickinson,540,7521,260,15841
Winneshiek,539,8049,1063,17670
Henry,530,7195,1969,16941
Mahaska,509,7322,589,15791
Mills,509,5802,155,12297
Clay,508,8102,312,16967
Fayette,499,9939,942,21331
Cass,485,10069,440,21292
Poweshiek,483,9053,443,18939
Plymouth,451,6984,2993,17452
Crawford,389,6014,1592,14032
Jackson,365,7947,264,16506
Benton,364,7444,468,15727
Buchanan,361,6157,344,13012
Union,357,4821,327,10232
Grundy,346,4505,434,9800
Kossuth,340,5874,503,12627
Montgomery,321,3185,586,7300
Floyd,317,6259,1130,13983
Allamakee,308,5537,119,11509
Appanoose,304,4156,487,9193
Wright,292,4784,1743,11584
Madison,288,6819,169,14172
Clarke,286,4163,1365,9991
Hardin,284,6089,1347,13869
Shelby,281,5693,149,11857
O'Brien,271,5218,362,11076
Jones,265,6116,936,13481
Winnebago,263,3871,511,8532
Hamilton,260,6850,411,14530
Cedar,250,6149,291,12807
Out of State,243,5210,1,10376
Harrison,240,3277,257,7064
Cherokee,233,4613,302,9766
Humboldt,227,3889,411,8567
Delaware,220,4565,783,10097
Iowa,210,5637,629,12133
Greene,206,4355,515,9504
Guthrie,203,4322,282,9148
Clayton,188,5942,669,12786
Davis,186,3187,1673,8286
Monroe,180,3161,307,6842
Decatur,177,2836,123,6068
Palo Alto,176,3276,162,6917
Wayne,171,2889,394,6451
Franklin,162,3438,261,7307
Lucas,159,3374,428,7425
Mitchell,158,4368,173,9089
Louisa,141,3194,1546,8066
Howard,130,2143,189,4589
Adair,116,2190,337,4785
Lyon,115,2958,79,6122
Chickasaw,109,2774,351,6000
Ida,95,1582,511,3767
Taylor,94,2197,24,4541
Sac,93,3216,54,6598
Ringgold,90,2073,6,4300
Monona,89,2111,220,4515
Calhoun,88,4084,190,8478
Butler,88,3800,178,7888
Hancock,78,2987,722,6774
Adams,72,1653,10,3578
Pocahontas,71,1881,163,4001
Van Buren,71,1420,129,3042
Fremont,66,1601,98,3366
Worth,48,1724,1,3494
Osceola,39,1498,185,3218
Audubon,37,2000,101,4138
Keokuk,35,1596,100,3325
