County,Number of Doses
Polk,582320
Linn,266577
Johnson,191337
Scott,167099
Black Hawk,140786
Dubuque,112172
Story,110715
Dallas,110070
Woodbury,95899
Pottawattamie,88825
Warren,54848
Cerro Gordo,47680
Marshall,44098
Clinton,43725
Muscatine,43252
Jasper,38667
Webster,36555
Des Moines,35922
Boone,30403
Marion,30398
Wapello,29599
Lee,28999
Bremer,26865
Benton,26466
Sioux,25441
Plymouth,22472
Washington,22281
Winneshiek,22251
Carroll,21813
Jones,21557
Buena Vista,21307
Buchanan,20702
Cedar,19933
Poweshiek,19805
Fayette,19485
Jackson,18852
Dickinson,18478
Henry,18343
Tama,18242
Iowa,18208
Mahaska,17140
Hardin,16520
Hamilton,16442
Delaware,16391
Madison,15927
Jefferson,15747
Clay,15510
Butler,15289
Crawford,15249
Floyd,14991
Clayton,14821
Page,14334
Kossuth,13998
Grundy,13702
Mills,13606
Cass,13454
O'Brien,12482
Wright,12413
Allamakee,12364
Harrison,12255
Shelby,12211
Union,11384
Chickasaw,11366
Guthrie,11328
Cherokee,10930
Appanoose,10377
Calhoun,10347
Montgomery,9764
Franklin,9721
Winnebago,9592
Louisa,9562
Mitchell,9557
Hancock,9364
Sac,9268
Greene,9155
Clarke,8700
Emmet,8574
Humboldt,8509
Keokuk,8490
Howard,8272
Palo Alto,8156
Monona,8150
Lyon,7639
Worth,7006
Lucas,6905
Pocahontas,6373
Adair,6344
Monroe,6268
Ida,5907
Davis,5893
Audubon,5872
Decatur,5664
Fremont,5583
Van Buren,5314
Taylor,5198
Wayne,4867
Osceola,4788
Ringgold,4737
Adams,3523
.,94
