ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19163,79972,74053,5919
19155,45893,41113,4780
19021,9961,6451,3510
19061,59175,57131,2044
19189,4225,3734,491
19153,242676,231083,11593
19057,17323,16632,691
19157,9118,8711,407
19193,44787,40082,4705
19129,5748,5604,144
19169,48887,46225,2662
19049,43391,41054,2337
19069,3579,3340,239
19013,68636,62676,5960
19113,122359,114074,8285
19111,12984,11173,1811
19127,15368,12659,2709
19047,7319,5744,1575
19123,7544,7034,510
19099,14259,13171,1088
19101,7798,6866,932
19103,88924,84871,4053
19179,12133,11328,805
19015,11098,10569,529
19167,12134,9517,2617
19181,16897,15963,934
19045,16663,15187,1476
19131,4374,4232,142
19187,17212,15964,1248
19031,6253,5981,272
19017,12713,11523,1190
19029,10246,9829,417
19125,15317,11330,3987
19089,2188,2024,164
19009,2037,1936,101
19173,2179,2162,17
19165,5642,5519,123
,5211,5210,1
19007,4503,4033,470
19033,25127,23377,1750
19115,4637,3118,1519
19121,6819,6667,152
19197,6305,4600,1705
19145,7199,6426,773
19185,3215,2840,375
19087,8762,6914,1848
19067,7056,6045,1011
19097,7978,7727,251
19191,8527,7546,981
19137,3613,3045,568
19171,8850,7881,969
19085,3471,3231,240
19001,2473,2146,327
19027,10209,9136,1073
19081,3630,2921,709
19183,7340,6822,518
19159,2023,2019,4
19117,3650,3267,383
19141,5363,5035,328
19019,6247,5940,307
19059,7467,7235,232
19083,7203,5893,1310
19025,4224,4055,169
19091,4150,3776,374
19041,8107,7865,242
19161,3246,3197,49
19065,10586,9689,897
19119,2984,2914,70
19011,7657,7201,456
19005,5508,5401,107
19037,3045,2715,330
19149,9638,6725,2913
19151,1973,1828,145
19175,4853,4573,280
19139,17579,12768,4811
19107,1665,1565,100
19105,6761,5898,863
19135,3342,3064,278
19043,6534,5882,652
19075,4776,4402,374
19177,1505,1394,111
19063,4825,4456,369
19095,6057,5459,598
19035,4724,4473,251
19051,4790,3133,1657
19195,1681,1680,1
19147,3343,3198,145
19003,1618,1610,8
19073,4691,4195,496
19039,5318,3966,1352
19109,6049,5577,472
19077,4434,4196,238
19053,2875,2757,118
19023,3930,3769,161
19079,7042,6641,401
19055,5155,4403,752
19071,1676,1578,98
19143,1617,1457,160
19133,2276,2086,190
19093,2015,1526,489
