RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19153,244334,231646,12688
19161,4071,3737,334
19027,9986,8991,995
19013,60814,55492,5322
19017,11931,10900,1031
19019,8850,8230,620
19195,2985,2807,178
19033,20648,18998,1650
19081,4205,3751,454
19169,48846,46161,2685
19139,19706,15831,3875
19165,5406,5189,217
19009,2657,2508,149
19191,10080,9207,873
19103,87022,82295,4727
19065,8468,7909,559
19061,50158,48451,1707
19147,3605,3387,218
19183,9787,9100,687
19193,40083,35605,4478
19003,1520,1462,58
19173,2260,2188,72
19041,6688,6304,384
19125,13450,11331,2119
19123,7348,6565,783
19157,8603,8155,448
19099,16733,15175,1558
19073,4056,3550,506
19113,117551,109327,8224
19171,7965,7124,841
19109,6375,5827,548
19187,15921,14574,1347
19011,11553,10664,889
19045,18788,17378,1410
19067,6505,5997,508
19189,4383,3809,574
19131,4125,3928,197
19029,5962,5611,351
19135,2827,2513,314
19049,46881,44557,2324
19127,19124,16564,2560
19063,3719,3408,311
19159,2034,1995,39
19115,4326,3302,1024
19163,70932,65771,5161
19149,10283,8209,2074
19059,8056,7796,260
19093,2626,2229,397
19015,13332,12607,725
19141,5606,5093,513
19075,6006,5540,466
19091,3777,3425,352
19151,2784,2574,210
19055,7215,6385,830
19101,6912,6207,705
19005,5243,5026,217
19181,23431,22140,1291
19025,4584,4253,331
19083,7451,6541,910
19069,4206,3842,364
19023,6765,6342,423
19133,3617,3396,221
19085,5319,4969,350
19137,4278,3754,524
19111,12624,11120,1504
19197,5707,4807,900
19179,13063,10747,2316
19121,6817,6496,321
19143,2216,2009,207
19051,2572,2417,155
19047,6842,5537,1305
19145,6232,5700,532
19043,6874,6306,568
19057,14798,13925,873
19007,4530,4117,413
19107,3718,3425,293
19077,4985,4655,330
19129,5793,5518,275
19021,9344,6376,2968
19087,8245,6701,1544
19079,7315,6650,665
19035,4797,4441,356
19001,2867,2550,317
19037,5109,4435,674
19095,8033,7352,681
19167,11414,9773,1641
19089,3664,3209,455
19119,3410,3240,170
19185,2124,1959,165
19039,3854,3154,700
19097,8247,7875,372
19155,36612,34506,2106
19117,3077,2694,383
19031,8856,8197,659
19175,4887,4631,256
19071,2527,2329,198
19053,2440,2214,226
19177,2249,2052,197
19105,9843,8831,1012
,44,38,6
