ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19045,16878,15366,1512
19007,4532,4057,475
19145,7247,6462,785
19013,69338,63307,6031
19103,89892,85787,4105
19193,45327,40571,4756
19173,2181,2162,19
19155,46409,41611,4798
19165,5681,5555,126
19181,17066,16119,947
19175,4936,4645,291
19033,25461,23643,1818
19029,10310,9883,427
19197,6399,4687,1712
19055,5196,4441,755
19179,12270,11445,825
19153,246355,234452,11903
19111,13231,11370,1861
19057,17552,16851,701
19187,17392,16121,1271
19167,12204,9580,2624
19047,7393,5811,1582
19067,7120,6101,1019
19001,2487,2156,331
19171,8910,7941,969
19129,5789,5645,144
19011,7714,7255,459
19069,3625,3381,244
19113,123627,115189,8438
19015,11283,10741,542
19027,10318,9229,1089
19123,7626,7103,523
19163,81007,74979,6028
19061,59614,57528,2086
19099,14426,13299,1127
19049,43912,41532,2380
19157,9199,8784,415
19169,49354,46659,2695
19125,15452,11443,4009
19083,7269,5951,1318
19087,8820,6952,1868
19017,12881,11677,1204
19021,10075,6544,3531
19081,3650,2938,712
19025,4244,4073,171
19091,4183,3805,378
19109,6120,5643,477
19101,7927,6983,944
19097,8016,7762,254
19019,6296,5980,316
19065,10629,9725,904
19041,8156,7902,254
19141,5414,5076,338
19195,1691,1690,1
19189,4258,3758,500
19139,17899,13042,4857
19077,4466,4221,245
19079,7104,6701,403
19023,3934,3770,164
19183,7425,6896,529
19063,4855,4486,369
19039,5367,4012,1355
19117,3668,3278,390
19137,3633,3062,571
,5211,5210,1
19159,2031,2027,4
19127,15610,12857,2753
19105,6826,5942,884
19051,4808,3150,1658
19149,9710,6786,2924
19095,6136,5530,606
19147,3361,3215,146
19185,3225,2849,376
19121,6852,6698,154
19135,3362,3080,282
19059,7543,7301,242
19161,3256,3206,50
19089,2213,2049,164
19073,4750,4249,501
19085,3471,3231,240
19005,5533,5422,111
19075,4806,4421,385
19009,2090,1989,101
19003,1631,1623,8
19035,4757,4499,258
19043,6549,5896,653
19131,4413,4269,144
19191,8707,7716,991
19115,4665,3141,1524
19093,2017,1526,491
19053,2899,2781,118
19031,6294,6015,279
19107,1672,1572,100
19119,2995,2923,72
19177,1505,1394,111
19037,3062,2725,337
19151,1994,1848,146
19143,1620,1459,161
19133,2289,2093,196
19071,1677,1579,98
