ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19113,87892,81057,6835
19169,32084,30527,1557
19127,10478,7961,2517
19135,2779,2580,199
19153,162402,155220,7182
19013,53999,49369,4630
19049,28369,26875,1494
19193,37684,34225,3459
19155,36870,32577,4293
19015,8446,8126,320
19103,67397,64451,2946
19033,20013,18785,1228
19181,12217,11663,554
19017,10277,9322,955
19167,10057,7701,2356
19105,4628,4023,605
19187,13734,12892,842
19041,7103,7027,76
19163,61736,57698,4038
19055,4052,3435,617
19067,5444,4699,745
19175,3619,3480,139
19061,47165,45854,1311
19189,3400,3008,392
19009,1817,1717,100
19157,6815,6645,170
19001,2143,1863,280
19095,4225,3748,477
19065,9277,8458,819
19131,3876,3812,64
19029,8724,8472,252
19045,11924,10852,1072
19035,3945,3772,173
19115,4249,2756,1493
19043,5865,5276,589
19057,14433,13868,565
19121,5097,4992,105
19125,12740,9023,3717
19005,4928,4881,47
19085,2775,2588,187
19149,8554,5761,2793
19031,5057,4856,201
19073,3941,3589,352
19047,6208,4750,1458
19101,6389,5635,754
19059,6251,6116,135
19171,6446,5504,942
19097,6128,5995,133
19139,13167,9060,4107
19117,2841,2522,319
19107,1374,1274,100
19185,2811,2473,338
19091,3705,3389,316
19037,2543,2245,298
19123,5549,5269,280
19099,9805,9270,535
19039,4426,3152,1274
19183,5471,5070,401
19087,5841,5185,656
19111,10151,8960,1191
19027,8171,7379,792
19109,5216,4840,376
19063,4277,3980,297
19191,6260,5586,674
19003,1480,1479,1
19145,5600,4973,627
19161,2806,2806,0
19053,2561,2456,105
19165,4788,4733,55
19019,5094,4904,190
19177,1323,1254,69
19077,3315,3141,174
19051,4402,2807,1595
19023,3217,3114,103
,4254,4254,0
19083,5931,4755,1176
19021,8180,5020,3160
19147,2893,2805,88
19011,6253,5890,363
19081,2934,2368,566
19195,1354,1354,0
19007,3956,3547,409
19179,9262,8825,437
19025,3572,3451,121
19143,1375,1250,125
19079,5598,5259,339
19197,5239,3747,1492
19173,1942,1942,0
19089,1599,1512,87
19075,3801,3594,207
19141,4428,4203,225
19137,3016,2511,505
19071,1414,1341,73
19159,1724,1724,0
19069,3040,2854,186
19129,4223,4131,92
19151,1562,1432,130
19133,1672,1567,105
19093,1797,1371,426
19119,2437,2412,25
