RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19153,246110,233288,12822
19161,4076,3740,336
19027,10024,9026,998
19013,61125,55783,5342
19017,11993,10950,1043
19019,8894,8268,626
19195,3015,2832,183
19033,20748,19080,1668
19081,4207,3753,454
19169,49059,46357,2702
19139,19792,15904,3888
19165,5423,5201,222
19009,2660,2511,149
19191,10119,9243,876
19103,87325,82567,4758
19065,8537,7965,572
19061,50340,48606,1734
19147,3613,3393,220
19183,9831,9137,694
19193,40356,35862,4494
19003,1523,1464,59
19173,2271,2199,72
19041,6714,6324,390
19125,13518,11399,2119
19123,7388,6594,794
19157,8628,8179,449
19099,16818,15255,1563
19073,4073,3563,510
19113,118093,109808,8285
19171,7995,7153,842
19109,6393,5844,549
19187,15972,14615,1357
19011,11590,10694,896
19045,18924,17497,1427
19067,6543,6030,513
19189,4394,3818,576
19131,4136,3938,198
19029,5989,5638,351
19135,2843,2527,316
19049,47135,44792,2343
19127,19247,16666,2581
19063,3735,3424,311
19159,2036,1996,40
19115,4345,3318,1027
19163,71336,66149,5187
19149,10340,8259,2081
19059,8090,7825,265
19093,2639,2242,397
19015,13406,12673,733
19141,5614,5099,515
19075,6017,5549,468
19091,3784,3431,353
19151,2796,2585,211
19055,7239,6403,836
19101,6950,6242,708
19005,5263,5042,221
19181,23564,22258,1306
19025,4593,4260,333
19083,7477,6565,912
19069,4240,3871,369
19023,6784,6355,429
19133,3625,3404,221
19085,5330,4977,353
19137,4292,3768,524
19111,12684,11173,1511
19197,5728,4826,902
19179,13168,10827,2341
19121,6847,6520,327
19143,2226,2012,214
19051,2583,2427,156
19047,6877,5564,1313
19145,6248,5716,532
19043,6883,6313,570
19057,14887,14008,879
19007,4555,4141,414
19107,3732,3433,299
19077,5004,4673,331
19129,5814,5538,276
19021,9408,6427,2981
19087,8288,6741,1547
19079,7338,6669,669
19035,4813,4453,360
19001,2874,2557,317
19037,5149,4468,681
19095,8047,7363,684
19167,11472,9822,1650
19089,3689,3228,461
19119,3417,3247,170
19185,2129,1963,166
19039,3871,3170,701
19097,8284,7912,372
19155,36852,34740,2112
19117,3088,2703,385
19031,8886,8226,660
19175,4908,4646,262
19071,2530,2332,198
19053,2448,2220,228
19177,2257,2057,200
19105,9882,8860,1022
,44,38,6
