County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,240861,48148,42364,500,447,53
Linn,103664,18587,16739,294,267,27
Scott,76622,16277,14572,182,172,10
Johnson,70553,12511,11296,62,58,4
Black Hawk,63329,14388,12997,261,246,15
Woodbury,53126,13274,12377,198,184,14
Dubuque,51558,11843,10699,177,168,9
Story,49654,9042,8188,40,35,5
Dallas,47492,9379,8168,78,67,11
Pottawattamie,42700,9361,8445,126,112,14
Warren,24596,4776,3952,59,55,4
Cerro Gordo,21488,4822,4366,74,62,12
Webster,19661,4776,4476,81,69,12
Clinton,19572,4717,4200,72,65,7
Muscatine,19060,4016,3584,83,75,8
Des Moines,18861,4043,3594,53,46,7
Marshall,18689,4400,4082,68,63,5
Jasper,15800,3411,2931,63,59,4
Wapello,15360,3605,3125,100,98,2
Sioux,14239,4636,4360,64,61,3
Lee,14200,3378,2959,42,32,10
Marion,13790,3197,2807,59,51,8
Buena Vista,13625,4008,3772,35,32,3
Boone,12108,2290,2001,24,22,2
Plymouth,12019,3566,3345,73,66,7
Benton,11147,2180,1969,51,41,10
Bremer,10856,2544,2300,51,45,6
Washington,10554,2287,1985,39,37,2
Carroll,10302,2596,2402,43,37,6
Henry,9842,2721,2482,33,33,0
Dickinson,9281,1913,1730,34,31,3
Mahaska,9280,2042,1759,40,36,4
Pending Investigation,8868,1072,751,0,0,0
Jones,8854,2786,2602,53,50,3
Winneshiek,8832,1659,1397,24,20,4
Buchanan,8370,1664,1479,24,22,2
Fayette,8186,1698,1460,26,23,3
Jackson,8024,1993,1790,35,32,3
Cedar,8021,1595,1408,20,19,1
Crawford,7960,2392,2159,31,28,3
Poweshiek,7817,1397,1222,27,25,2
Tama,7611,1944,1744,61,59,2
Clay,7439,1761,1564,24,19,5
Hardin,7409,1610,1463,33,30,3
Wright,7268,1690,1541,28,24,4
Iowa,7227,1316,1158,23,21,2
Delaware,7076,1800,1624,37,33,4
Mills,7016,1406,1301,17,16,1
Kossuth,6986,1879,1573,49,44,5
Floyd,6854,1437,1286,38,30,8
Madison,6718,1308,1030,12,10,2
Jefferson,6695,1238,1078,29,26,3
Hamilton,6660,1651,1500,36,35,1
Butler,6277,1538,1325,29,26,3
Clayton,6215,1560,1418,51,43,8
Union,5963,1146,1032,27,24,3
O'Brien,5958,1729,1574,58,54,4
Harrison,5878,1613,1414,65,61,4
Cass,5634,1182,1035,45,43,2
Page,5451,1524,1390,17,16,1
Winnebago,5450,1248,1100,30,25,5
Cherokee,5361,1410,1265,32,27,5
Allamakee,5344,1329,1182,37,32,5
Appanoose,5302,1146,978,43,41,2
Hancock,5288,1346,1201,25,20,5
Grundy,5187,1244,1134,28,23,5
Guthrie,5008,1057,966,27,22,5
Mitchell,4961,1181,1059,39,38,1
Louisa,4869,1184,1075,34,28,6
Calhoun,4819,1251,1188,9,9,0
Sac,4786,1145,1043,17,17,0
Chickasaw,4785,1151,1076,12,11,1
Shelby,4733,1104,943,29,28,1
Franklin,4591,1057,927,19,18,1
Emmet,4520,1115,1007,35,34,1
Humboldt,4281,1090,980,20,17,3
Clarke,4257,857,709,13,13,0
Lyon,4128,1398,1253,37,33,4
Palo Alto,3996,938,847,16,15,1
Montgomery,3954,923,767,30,29,1
Howard,3924,907,749,20,16,4
Greene,3700,709,652,8,8,0
Keokuk,3636,872,795,28,28,0
Lucas,3370,679,602,12,10,2
Monona,3361,730,569,21,20,1
Worth,3276,629,548,4,3,1
Adair,3214,707,617,24,19,5
Pocahontas,3168,793,738,17,17,0
Decatur,3057,514,456,5,5,0
Monroe,2988,838,712,26,21,5
Ida,2891,786,679,30,29,1
Davis,2866,716,647,23,22,1
Fremont,2397,534,475,8,6,2
Van Buren,2395,516,455,16,13,3
Audubon,2289,433,382,8,8,0
Taylor,2285,616,560,11,9,2
Osceola,2184,655,612,12,10,2
Ringgold,2138,474,378,12,11,1
Wayne,1979,427,379,21,17,4
Adams,1410,309,274,3,3,0
