RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19169,90898,6517,41012,2340
19153,444447,36013,198893,10666
19049,85133,6417,38352,2041
19045,34070,1821,15542,1166
19167,20485,812,9074,1522
19089,6658,230,3013,403
19071,4665,211,2143,168
19007,8339,471,3750,367
19163,128362,8915,57519,4416
19061,95232,3751,44999,1486
19113,213453,14388,95886,7331
19179,22527,1267,9642,1978
19155,66329,4930,29737,1931
19131,7830,229,3723,152
19103,161460,10307,73465,4224
19139,33539,1939,14065,3466
19165,10300,324,4894,187
19161,7633,229,3559,286
19189,7926,317,3540,527
19033,37964,2006,17293,1377
19197,10022,454,4365,839
19187,28556,1799,12863,1050
19181,43041,2957,19523,1052
19085,10115,526,4644,304
19141,10376,375,4777,447
19025,8607,315,4008,272
19127,33345,2450,14307,2283
19055,13130,541,5911,766
19143,4070,129,1884,174
19011,21246,1056,9695,796
19041,12500,494,5848,312
19107,6870,300,3157,256
19013,110610,6230,49820,4729
19171,14551,718,6541,749
19193,72781,4118,32287,4096
19183,18121,965,8275,605
19027,18398,708,8380,929
19121,12733,696,5879,275
19111,22508,1139,10080,1212
19047,11812,501,5042,1227
19119,6543,183,3107,148
19031,16298,816,7442,600
19099,29666,2197,13127,1211
19015,24373,1454,11155,613
19019,16422,737,7580,525
19035,9063,338,4197,330
19063,7120,451,3202,264
19123,13234,655,5946,686
19037,9297,315,4185,612
19029,11193,514,5193,295
19125,23637,1353,10138,2008
19145,11665,611,5325,396
19021,14945,699,5790,2667
19093,4670,168,2071,360
19091,6982,275,3188,330
19065,15985,644,7424,490
19057,27446,1691,12514,730
19009,4961,186,2321,133
19175,9127,504,4203,216
19185,3933,253,1765,150
19023,12694,428,5954,361
19043,12918,379,6007,523
19017,21972,1056,9990,935
19083,13502,562,6062,815
19191,18456,652,8504,796
19075,11281,449,5218,394
19195,5598,209,2616,155
19081,7625,245,3494,392
19053,4537,266,2028,214
19149,17825,763,7557,1948
19101,12458,850,5494,620
19087,14293,699,6149,1297
19177,4194,177,1927,165
19157,16057,749,7471,370
19173,4343,157,2066,54
19109,11683,534,5350,449
19079,13362,583,6080,618
19147,6847,243,3207,189
19117,5511,293,2434,350
19159,3870,157,1839,35
19133,6729,322,3127,153
19051,4818,251,2219,129
19003,2865,160,1333,40
19077,9178,609,4144,281
19073,7254,452,3173,456
19097,15628,521,7398,313
19005,10090,408,4748,188
19039,6659,357,2821,658
19059,15552,625,7357,213
19067,12065,522,5566,410
19069,7746,292,3571,314
19135,5134,239,2309,277
19115,7282,334,2995,959
19105,17784,920,7984,875
19137,7770,395,3444,487
19095,14716,697,6719,582
19129,10523,701,4790,243
19151,5175,205,2391,189
19001,5153,313,2282,274
,83,6,36,6
