Age Group Public,RECIP_ID
0 - 11,10
12 - 15,91758
16 - 17,59880
18 - 19,69085
20 - 29,345389
30 - 39,382301
40 - 49,394453
50 - 59,480926
60 - 64,296857
65+,924250
