RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19033,16832,15698,1134
19061,42937,41766,1171
19055,6137,5433,704
19099,12165,11280,885
19103,69741,65884,3857
19153,172753,164097,8656
19013,49713,45440,4273
19113,89645,82902,6743
19191,8147,7470,677
19029,5153,4897,256
19163,56301,52617,3684
19049,33298,31617,1681
19193,33999,30227,3772
19045,14536,13510,1026
19127,13680,11508,2172
19141,4904,4487,417
19097,6947,6700,247
19081,3558,3228,330
19109,5498,5082,416
19195,2500,2367,133
19173,1998,1958,40
19169,35215,33305,1910
19155,27593,25844,1749
19183,7849,7341,508
19057,12166,11540,626
19017,9998,9144,854
19069,3554,3283,271
19025,3760,3524,236
19187,12749,11803,946
19005,4555,4413,142
19101,5548,4991,557
19135,2426,2180,246
19043,6202,5720,482
19129,4614,4404,210
19125,10953,9112,1841
19145,5170,4796,374
19181,17364,16561,803
19105,7307,6568,739
19131,3541,3426,115
19059,7150,6976,174
19115,3597,2695,902
19197,4861,4096,765
19087,6162,5248,914
19065,7430,6971,459
19167,9816,8369,1447
19157,6980,6681,299
19179,10551,8648,1903
19083,6308,5583,725
19137,3682,3231,451
19023,5728,5420,308
19075,5026,4707,319
19139,15482,12299,3183
19121,5263,5040,223
19079,5764,5215,549
19019,7519,7056,463
19015,10119,9641,478
19175,4059,3910,149
19147,3205,3052,153
19077,4025,3798,227
19031,7258,6735,523
19159,1783,1753,30
19095,6656,6150,506
19091,3344,3040,304
19123,5903,5313,590
19185,1822,1687,135
19149,9084,7182,1902
19161,3590,3325,265
19011,9474,8736,738
19165,4847,4689,158
19171,6578,5877,701
19047,5836,4665,1171
19037,4440,3886,554
19177,1938,1793,145
19067,5403,5097,306
19111,9930,8993,937
19001,2404,2157,247
19021,7708,5126,2582
19071,2176,2029,147
19093,2294,1951,343
19027,8621,7786,835
19035,4263,3955,308
19107,3120,2890,230
19041,5854,5587,267
19009,2326,2207,119
19089,3044,2694,350
19117,2497,2187,310
19151,2313,2141,172
19039,3161,2552,609
19051,2182,2081,101
,38,32,6
19133,3074,2938,136
19073,3361,2957,404
19053,2111,1925,186
19003,1285,1254,31
19063,3262,3020,242
19007,3903,3570,333
19119,3032,2906,126
19085,4511,4220,291
19189,3759,3295,464
19143,1924,1776,148
