RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19179,11528,9565,1963
19047,6239,5013,1226
19027,9243,8325,918
19153,206382,195940,10442
19161,3840,3556,284
19113,101055,93815,7240
19037,4779,4169,610
19015,11679,11082,597
19169,43001,40694,2307
19181,20332,19301,1031
19099,14155,12966,1189
19049,39872,37870,2002
19127,16361,14090,2271
19017,10852,9925,927
19157,7717,7362,355
19121,6107,5837,270
19135,2572,2298,274
19071,2306,2138,168
19021,8401,5737,2664
19035,4520,4192,328
19013,54112,49428,4684
19103,77027,72864,4163
19167,10565,9046,1519
19087,7211,5950,1261
19069,3871,3563,308
19041,6146,5839,307
19089,3389,2987,402
19163,61419,57114,4305
19195,2755,2602,153
19095,7240,6671,569
19033,18542,17211,1331
19075,5556,5174,382
19147,3378,3194,184
19155,31205,29299,1906
19111,11215,10026,1189
19051,2334,2211,123
19109,5770,5330,440
19003,1363,1326,37
19061,46217,44776,1441
19065,7860,7378,482
19023,6293,5933,360
19149,9475,7536,1939
19141,5198,4752,446
19165,5061,4878,183
19105,8800,7937,863
19139,17345,13913,3432
19171,7213,6478,735
19101,6037,5431,606
19039,3451,2804,647
19091,3502,3180,322
19005,4858,4670,188
19193,36164,32091,4073
19031,7955,7367,588
19007,4092,3728,364
19187,13850,12831,1019
19079,6659,6052,607
19073,3605,3159,446
19043,6514,5999,515
19125,12062,10071,1991
19131,3812,3662,150
19197,5163,4346,817
19045,16481,15340,1141
19093,2426,2067,359
19115,3917,2968,949
19011,10357,9571,786
19083,6839,6032,807
19019,8053,7536,517
19183,8762,8166,596
19085,4936,4632,304
19137,3920,3435,485
19129,5017,4776,241
19081,3883,3493,390
19029,5454,5162,292
19053,2235,2025,210
19055,6640,5884,756
19077,4402,4127,275
19175,4382,4177,205
19097,7681,7373,308
19057,13116,12400,716
19107,3401,3148,253
19067,5916,5516,400
19145,5651,5255,396
19025,4270,3999,271
19133,3275,3122,153
19119,3230,3085,145
19059,7543,7332,211
19143,2044,1874,170
19009,2445,2315,130
19191,9191,8400,791
19063,3448,3186,262
19173,2118,2065,53
19151,2575,2387,188
19123,6564,5891,673
19189,4055,3532,523
19159,1873,1839,34
19185,1911,1763,148
19117,2760,2411,349
19177,2070,1907,163
19001,2549,2278,271
,41,35,6
