County,Number of Doses
Polk,792987
Linn,365928
Johnson,266206
Scott,228797
Black Hawk,186650
Dallas,152683
Dubuque,152270
Story,150551
Woodbury,123768
Pottawattamie,118025
Warren,74396
Cerro Gordo,63786
Marshall,59576
Clinton,58567
Muscatine,57816
Jasper,52016
Webster,48462
Des Moines,47870
Marion,41119
Boone,40620
Wapello,38747
Lee,38550
Bremer,36509
Benton,35638
Sioux,32533
Winneshiek,31270
Plymouth,30050
Washington,29655
Carroll,29452
Jones,29233
Buchanan,27422
Buena Vista,27346
Poweshiek,27062
Cedar,26936
Fayette,26172
Jackson,25672
Henry,24684
Dickinson,24583
Iowa,24464
Tama,24236
Mahaska,23090
Hamilton,22326
Hardin,22279
Delaware,22118
Madison,21368
Jefferson,20875
Clay,20630
Butler,20449
Floyd,20286
Crawford,20179
Clayton,19350
Page,19330
Kossuth,18527
Cass,18250
Grundy,18163
Mills,17765
Wright,16845
O'Brien,16411
Shelby,16409
Allamakee,16405
Harrison,15757
Chickasaw,15590
Union,15342
Guthrie,15118
Cherokee,14407
Appanoose,13992
Calhoun,13878
Montgomery,12981
Franklin,12858
Mitchell,12842
Winnebago,12777
Louisa,12596
Hancock,12481
Sac,12291
Greene,12216
Clarke,11658
Emmet,11337
Humboldt,11304
Howard,11264
Keokuk,11163
Palo Alto,10894
Monona,10625
Lyon,9940
Worth,9418
Lucas,9330
Adair,8647
Monroe,8430
Pocahontas,8335
Ida,7907
Audubon,7844
Davis,7815
Decatur,7716
Fremont,7363
Taylor,7013
Van Buren,6987
Ringgold,6650
Wayne,6625
Osceola,6335
Adams,4944
.,162
