County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,618223,60117,50281,577,513,64
Linn,262425,20958,18921,321,289,32
Black Hawk,195082,16517,14504,298,277,21
Johnson,190161,14094,12850,76,71,5
Scott,187888,18743,16701,224,206,18
Dubuque,169747,13737,12042,200,186,14
Story,147415,10528,9345,46,40,6
Woodbury,131023,15474,13405,216,198,18
Dallas,116255,11723,9861,93,82,11
Pottawattamie,108151,11081,9565,149,132,17
Marshall,74634,5062,4511,74,66,8
Cerro Gordo,69920,5427,4860,85,71,14
Warren,68414,5738,4946,80,71,9
Webster,63440,5273,4803,88,74,14
Clinton,56232,5536,4848,87,76,11
Des Moines,51107,4654,4168,63,53,10
Lee,49384,3773,3464,54,41,13
Muscatine,48705,4650,4057,94,85,9
Jasper,46439,4263,3665,69,64,5
Wapello,42717,4519,3801,114,110,4
Buena Vista,41572,4798,4020,38,35,3
Boone,40429,2661,2364,30,28,2
Sioux,39402,5052,4659,69,66,3
Poweshiek,37774,1578,1435,31,28,3
Marion,37717,3673,3299,74,64,10
Washington,37280,2585,2337,48,44,4
Bremer,35118,2870,2573,57,48,9
Plymouth,34537,4056,3560,79,71,8
Winneshiek,34324,1940,1765,31,26,5
Benton,33705,2606,2272,54,44,10
Henry,33358,2954,2746,37,36,1
Carroll,33028,2916,2598,49,42,7
Fayette,31783,1880,1727,37,33,4
Hardin,31260,1860,1628,39,33,6
Tama,29877,2168,1919,68,65,3
Mahaska,28159,2283,2069,47,42,5
Cedar,27722,1837,1635,23,21,2
Buchanan,27680,1911,1705,30,26,4
Butler,26933,1693,1536,32,28,4
Iowa,26900,1487,1347,23,21,2
Clay,26717,2028,1802,25,20,5
Crawford,25219,2811,2449,36,31,5
Delaware,24568,1929,1803,39,35,4
Dickinson,23562,2320,1958,41,35,6
Jones,23416,2980,2779,55,51,4
Kossuth,23389,2143,1901,58,51,7
O'Brien,23326,2027,1718,58,54,4
Jackson,23307,2248,2039,40,37,3
Floyd,23055,1667,1421,41,31,10
Clayton,22508,1697,1546,55,46,9
Hamilton,21724,1937,1684,44,42,2
Mills,19750,1682,1448,20,17,3
Hancock,19412,1493,1334,33,27,6
Wright,19345,1823,1697,32,27,5
Allamakee,19336,1526,1342,48,38,10
Page,19336,1890,1762,19,18,1
Harrison,19272,1822,1590,70,66,4
Cass,19066,1392,1201,52,47,5
Cherokee,18832,1611,1398,37,29,8
Jefferson,18734,1405,1247,35,29,6
Madison,18695,1618,1397,19,15,4
Franklin,18134,1201,1061,20,19,1
Sac,18007,1291,1151,18,18,0
Grundy,17681,1404,1272,31,26,5
Calhoun,16833,1365,1268,11,11,0
Monona,16616,835,735,30,28,2
Guthrie,16557,1192,1057,28,23,5
Palo Alto,16420,1086,973,22,20,2
Appanoose,16266,1411,1173,47,43,4
Mitchell,16036,1338,1161,40,38,2
Winnebago,15955,1422,1249,31,26,5
Chickasaw,15929,1269,1173,15,13,2
Louisa,15754,1299,1169,48,41,7
Union,15640,1284,1152,31,26,5
Howard,15485,1054,957,22,18,4
Shelby,15040,1256,1099,34,31,3
Emmet,14944,1252,1096,40,38,2
Keokuk,14258,996,880,29,29,0
Humboldt,14165,1205,1095,25,22,3
Lyon,13876,1484,1408,41,37,4
Greene,13568,792,713,10,10,0
Montgomery,13063,1048,926,36,34,2
Pending Investigation,12376,1023,878,0,0,0
Clarke,12266,1023,906,21,21,0
Pocahontas,11927,867,788,19,19,0
Adair,11400,952,770,31,22,9
Worth,11366,711,647,8,7,1
Ida,11167,970,768,32,30,2
Audubon,10900,496,454,9,8,1
Davis,9954,847,727,24,23,1
Decatur,9432,591,548,9,9,0
Ringgold,8971,537,480,22,18,4
Monroe,8878,952,851,28,21,7
Lucas,8469,771,676,21,17,4
Taylor,7787,667,626,12,10,2
Van Buren,7723,563,519,18,15,3
Osceola,7498,717,654,15,13,2
Fremont,6650,600,539,10,8,2
Wayne,5700,538,423,21,17,4
Adams,4950,327,315,4,4,0
