County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,38188,210750,10465,469764
Linn,14767,104961,7811,231212
Johnson,10895,79221,3724,172708
Scott,10544,68464,5473,154203
Story,7324,42450,2429,93899
Black Hawk,7266,58722,5591,130543
Dallas,6065,37319,2130,81430
Pottawattamie,5989,38258,4665,88114
Dubuque,4964,54396,1897,115460
Woodbury,4948,37846,4434,84653
Cerro Gordo,2822,21957,1584,48388
Des Moines,2306,15740,635,34456
Clinton,1889,14231,1313,31742
Warren,1880,15164,850,32892
Webster,1764,15295,1019,33602
Marshall,1583,11813,2590,27737
Muscatine,1566,11996,4578,30264
Jasper,1501,12204,928,26646
Tama,1363,7028,964,16399
Wapello,1262,10630,543,23176
Bremer,1198,11005,1129,24330
Lee,1110,10640,1613,24253
Boone,1061,10013,481,21519
Marion,1001,10856,3949,26815
Carroll,891,8663,1008,19385
Jefferson,881,6447,894,14672
Washington,858,6345,472,14030
Winneshiek,839,7076,931,15913
Buena Vista,788,6073,3231,16257
Page,782,6141,680,13774
Sioux,769,9068,2523,21442
Mills,767,4807,135,10534
Poweshiek,759,8230,347,17470
Clay,748,7481,193,15851
Mahaska,667,6702,447,14561
Fayette,665,9378,867,20306
Cass,656,9518,347,20255
Emmet,640,4337,342,9764
Henry,592,6656,1680,15639
Dickinson,588,6954,194,14696
Plymouth,588,6403,2852,16283
Wright,523,4312,1646,10772
Kossuth,518,5372,457,11772
Benton,509,6926,427,14802
Madison,479,6411,141,13497
Jones,474,5597,787,12514
Jackson,469,7423,216,15522
Crawford,457,5483,1532,12980
Union,456,4363,245,9343
Greene,446,3975,469,8940
Hardin,432,5641,1263,13032
O'Brien,409,4798,295,10308
Floyd,405,5821,951,13017
Delaware,405,4145,719,9381
Clarke,399,3759,1323,9252
Guthrie,398,3954,228,8548
Cedar,396,5737,249,12098
Buchanan,393,5707,282,12092
Hamilton,388,6378,391,13685
Allamakee,376,5264,97,11006
Appanoose,362,3890,451,8682
Grundy,351,4259,325,9204
Harrison,347,3118,216,6809
Montgomery,332,2918,552,6748
Iowa,324,5314,562,11536
Shelby,323,5348,98,11164
Winnebago,312,3573,470,7950
Monroe,306,2859,258,6311
Humboldt,302,3676,358,8153
Cherokee,295,4320,230,9173
Lucas,260,3096,369,6916
Out of State,251,5211,0,10399
Monona,243,1897,155,4177
Clayton,235,5790,628,12492
Adair,223,2030,313,4535
Wayne,223,2773,365,6234
Davis,220,3026,1646,7947
Palo Alto,216,3099,134,6577
Decatur,210,2685,118,5791
Franklin,204,3247,223,6931
Hancock,194,2792,690,6467
Mitchell,183,4130,118,8578
Louisa,179,3050,1513,7768
Howard,170,1968,153,4242
Ringgold,149,1930,4,4064
Lyon,147,2856,62,5921
Chickasaw,139,2649,316,5746
Butler,134,3718,137,7716
Calhoun,128,4011,157,8334
Taylor,116,2106,11,4362
Sac,116,3173,42,6522
Adams,115,1586,6,3473
Ida,113,1474,478,3537
Fremont,100,1521,94,3236
Pocahontas,99,1786,140,3814
Van Buren,96,1364,91,2917
Audubon,88,1913,101,4012
Keokuk,81,1508,100,3195
Worth,77,1636,0,3346
Osceola,50,1420,153,3043
