County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,243154,48773,43298,510,455,55
Linn,104454,18793,16947,299,272,27
Scott,77199,16445,14823,187,176,11
Johnson,71083,12616,11489,65,61,4
Black Hawk,63806,14505,13176,265,250,15
Woodbury,53519,13347,12542,202,188,14
Dubuque,51850,11937,10868,184,173,11
Story,50001,9130,8309,42,37,5
Dallas,47928,9517,8387,84,73,11
Pottawattamie,42961,9439,8584,130,116,14
Warren,24833,4842,4060,64,60,4
Cerro Gordo,21682,4863,4442,76,64,12
Clinton,19794,4770,4292,76,69,7
Webster,19742,4793,4527,82,70,12
Muscatine,19180,4036,3645,85,76,9
Des Moines,19029,4078,3649,54,47,7
Marshall,18884,4452,4126,68,63,5
Jasper,15927,3438,2994,64,60,4
Wapello,15496,3641,3184,102,100,2
Sioux,14333,4657,4412,65,62,3
Lee,14291,3406,3011,45,33,12
Marion,13907,3235,2879,60,52,8
Buena Vista,13705,4021,3815,36,33,3
Boone,12200,2314,2054,25,23,2
Plymouth,12092,3585,3368,74,67,7
Benton,11230,2213,1998,51,41,10
Bremer,10952,2565,2341,52,46,6
Washington,10616,2299,2021,40,38,2
Carroll,10366,2605,2438,45,39,6
Henry,9894,2727,2531,33,33,0
Mahaska,9359,2066,1798,43,39,4
Dickinson,9340,1927,1767,37,31,6
Winneshiek,8941,1686,1437,26,22,4
Jones,8936,2802,2623,53,50,3
Pending Investigation,8891,1084,777,0,0,0
Buchanan,8437,1683,1513,26,24,2
Fayette,8276,1713,1492,26,23,3
Jackson,8091,2020,1811,37,34,3
Cedar,8069,1605,1431,20,19,1
Crawford,8013,2415,2197,32,28,4
Poweshiek,7953,1428,1257,27,25,2
Tama,7674,1957,1773,63,61,2
Clay,7488,1772,1597,24,19,5
Hardin,7451,1618,1483,33,30,3
Wright,7292,1694,1566,28,24,4
Iowa,7279,1330,1174,23,21,2
Delaware,7113,1809,1645,37,33,4
Mills,7055,1418,1317,20,17,3
Kossuth,7044,1892,1606,51,45,6
Floyd,6892,1443,1316,38,30,8
Jefferson,6825,1247,1123,31,27,4
Madison,6793,1331,1087,13,10,3
Hamilton,6711,1666,1515,36,35,1
Butler,6316,1550,1384,29,26,3
Clayton,6260,1565,1442,52,44,8
O'Brien,6013,1742,1606,58,54,4
Union,6003,1156,1039,29,25,4
Harrison,5901,1627,1438,67,63,4
Cass,5686,1202,1053,46,44,2
Winnebago,5496,1256,1121,30,25,5
Page,5480,1536,1412,17,16,1
Allamakee,5393,1345,1197,38,33,5
Cherokee,5393,1413,1306,35,29,6
Appanoose,5354,1156,1008,45,43,2
Hancock,5315,1349,1232,26,21,5
Grundy,5224,1257,1151,30,25,5
Guthrie,5035,1064,975,27,22,5
Mitchell,4987,1182,1080,39,38,1
Louisa,4889,1187,1085,40,33,7
Calhoun,4843,1254,1197,9,9,0
Sac,4813,1147,1065,17,17,0
Chickasaw,4811,1154,1089,12,11,1
Shelby,4770,1109,957,31,29,2
Franklin,4625,1070,954,19,18,1
Emmet,4543,1119,1027,37,36,1
Clarke,4320,876,724,17,17,0
Humboldt,4303,1098,995,21,18,3
Lyon,4162,1404,1278,37,33,4
Palo Alto,4019,951,861,16,15,1
Montgomery,4004,932,784,32,31,1
Howard,3990,930,768,20,16,4
Greene,3716,711,659,8,8,0
Keokuk,3669,880,803,28,28,0
Lucas,3389,684,617,16,13,3
Monona,3382,734,586,21,20,1
Worth,3300,631,566,4,3,1
Adair,3238,718,636,25,19,6
Decatur,3182,526,465,7,7,0
Pocahontas,3181,797,750,17,17,0
Monroe,3009,847,748,26,21,5
Ida,2927,793,687,31,30,1
Davis,2914,726,658,23,22,1
Van Buren,2418,524,468,16,13,3
Fremont,2410,537,480,9,7,2
Audubon,2312,440,387,9,8,1
Taylor,2309,623,574,11,9,2
Osceola,2194,655,616,12,10,2
Ringgold,2158,480,398,15,14,1
Wayne,1983,427,390,21,17,4
Adams,1426,311,284,3,3,0
