ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,571652,27561,264374,15708
19059,16713,630,7893,292
19021,20331,1257,7553,3870
19027,22351,724,10081,1290
19049,98283,4568,46119,2820
19181,37565,1520,17524,1165
19013,152893,6238,70011,6423
19033,56786,2553,25965,2151
19169,108982,5006,50759,3301
19195,3608,66,1772,1
19083,14568,423,6360,1351
19189,9001,292,4091,513
19081,7023,145,3061,755
19155,104057,5307,46401,5021
19139,36055,1614,14510,5307
19009,4260,53,2054,101
19005,12168,401,5810,129
19099,30783,1031,14368,1223
19103,196199,7141,92388,4683
19017,28134,969,12835,1504
19065,22199,661,10288,960
19061,129880,4134,61742,2444
19041,17855,716,8441,314
19063,10589,581,4724,429
19147,7209,217,3394,179
19193,101803,5642,45756,5079
19003,3663,78,1685,23
19173,4724,108,2274,40
19175,10950,481,5103,356
19067,14908,472,6626,1234
19035,10400,385,4818,374
19123,16842,695,7754,589
19183,16385,701,7537,598
19179,27718,1190,12672,1059
19073,9859,262,4501,525
19113,270154,9491,126089,9709
19019,14003,507,6560,383
19101,17104,797,7656,1003
19127,33696,1472,14554,3258
19109,13148,392,6092,535
19187,39143,1809,17832,1435
19037,6221,133,2868,362
19011,16459,513,7727,492
19141,11644,351,5431,430
19045,38479,1808,17424,1738
19131,9575,265,4542,200
19029,22038,574,10376,473
19135,7140,175,3277,378
19159,4505,109,2167,6
19163,182344,8505,82879,6865
19125,30489,1062,12542,4187
19149,18386,640,7358,2995
19015,24473,718,11603,618
19091,8973,290,4044,436
19151,4182,101,1946,182
19055,10947,422,4868,822
19031,13292,279,6371,304
19167,24506,963,10374,2788
19143,3329,45,1540,204
19161,6730,143,3244,76
19069,7651,218,3568,287
19133,4761,153,2195,234
19075,10462,437,4754,518
19171,18414,625,8356,985
19137,7891,406,3425,606
19111,28990,1226,12654,2229
19197,12252,345,5048,1834
19047,15003,590,6387,1609
19077,9550,231,4481,332
19093,3926,131,1628,543
19051,8646,215,3340,1700
19025,8642,135,4123,229
19145,15685,760,7019,857
19057,40963,2149,18975,804
19007,9743,451,4341,523
19157,19843,693,9377,487
19191,18871,797,8520,1071
19023,7993,102,3840,193
19087,18203,717,7650,2146
19053,6300,225,2922,138
19097,17386,477,8314,303
19001,4952,156,2250,344
19079,15178,379,7103,433
19039,10633,360,4436,1390
19095,12459,226,5774,663
19119,6379,169,3036,128
19043,13109,280,6060,668
19085,7422,370,3381,273
19117,7704,219,3476,443
19107,3420,54,1633,100
19165,12472,334,5953,197
19185,6646,222,2948,418
19115,8276,169,3262,1587
19121,14758,339,7074,193
19177,3105,85,1431,152
,10619,231,5330,1
19105,14194,393,6382,993
19129,13395,587,6299,185
19089,4967,273,2233,246
19071,3448,94,1628,98
