Age Group Public,RECIP_ID
0 - 11,5
12 - 15,72129
16 - 17,53338
18 - 19,63698
20 - 29,327458
30 - 39,366253
40 - 49,379499
50 - 59,465911
60 - 64,290074
65+,913323
