County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,680903,63436,53491,608,539,69
Linn,285617,21752,19453,330,294,36
Black Hawk,210466,17049,14928,306,283,23
Johnson,207321,15013,13338,81,76,5
Scott,206357,20650,17587,236,215,21
Dubuque,186995,14464,12428,204,189,15
Story,159863,11115,9878,47,41,6
Woodbury,143932,16237,14187,221,203,18
Dallas,125876,12254,10500,96,84,12
Pottawattamie,117786,11899,10088,164,145,19
Marshall,81295,5134,4653,75,67,8
Warren,75582,6096,5263,86,76,10
Cerro Gordo,75287,5651,4996,87,73,14
Webster,67573,5368,4936,92,77,15
Clinton,62103,5886,5064,91,79,12
Des Moines,55090,4780,4289,65,54,11
Muscatine,54441,4959,4324,97,88,9
Lee,52970,3927,3590,55,42,13
Jasper,50870,4420,3939,70,65,5
Wapello,46419,4613,4085,121,117,4
Buena Vista,44443,4875,4134,40,36,4
Sioux,44377,5252,4859,73,70,3
Boone,43898,2781,2474,33,31,2
Poweshiek,42798,1607,1482,33,30,3
Marion,41804,3759,3438,75,64,11
Washington,40631,2662,2388,50,46,4
Bremer,38823,2936,2691,60,51,9
Winneshiek,38561,2028,1846,33,28,5
Plymouth,37806,4285,3742,79,71,8
Benton,36706,2668,2408,55,44,11
Carroll,35950,3013,2701,52,43,9
Henry,35690,3018,2787,37,36,1
Fayette,35625,1917,1776,41,36,5
Hardin,34269,1948,1707,42,34,8
Tama,32340,2195,1979,71,67,4
Buchanan,30574,1993,1796,31,26,5
Cedar,30479,1936,1744,23,21,2
Mahaska,30450,2370,2137,50,45,5
Clay,29965,2234,1951,25,20,5
Iowa,29383,1527,1413,24,22,2
Butler,29138,1716,1572,34,30,4
Delaware,27843,2086,1882,39,35,4
Crawford,27233,2864,2551,40,35,5
Dickinson,26434,2624,2179,43,37,6
Kossuth,25900,2254,2004,64,56,8
O'Brien,25770,2124,1849,60,55,5
Jones,25713,3056,2832,55,51,4
Jackson,25373,2319,2099,42,39,3
Floyd,25108,1736,1474,42,32,10
Clayton,24643,1761,1570,55,46,9
Hamilton,23120,1972,1714,49,45,4
Mills,21119,1756,1531,20,17,3
Harrison,21019,1904,1632,73,69,4
Page,20992,1971,1829,21,19,2
Hancock,20909,1540,1367,34,27,7
Allamakee,20840,1545,1436,51,41,10
Cherokee,20689,1677,1491,38,30,8
Cass,20478,1435,1275,54,48,6
Wright,20471,1874,1732,35,28,7
Madison,20289,1692,1483,19,15,4
Jefferson,20242,1424,1275,35,29,6
Sac,19691,1365,1211,19,19,0
Franklin,19228,1232,1084,21,19,2
Grundy,19070,1433,1304,32,27,5
Palo Alto,18449,1170,1028,23,22,1
Guthrie,18283,1266,1113,29,24,5
Calhoun,18127,1383,1311,12,12,0
Monona,17916,874,762,30,28,2
Mitchell,17634,1364,1207,41,38,3
Appanoose,17469,1439,1200,47,43,4
Chickasaw,17210,1295,1202,15,13,2
Winnebago,17195,1475,1307,31,26,5
Louisa,17070,1338,1199,49,42,7
Shelby,17023,1350,1196,37,33,4
Union,16843,1315,1180,32,26,6
Emmet,16795,1377,1164,40,38,2
Howard,16640,1075,997,22,18,4
Lyon,15908,1559,1454,41,37,4
Keokuk,15537,1018,905,31,31,0
Humboldt,15299,1229,1146,26,23,3
Greene,14738,815,743,10,10,0
Montgomery,14179,1093,946,37,35,2
Clarke,13191,1044,949,24,22,2
Worth,12928,753,674,8,7,1
Pocahontas,12728,886,807,21,21,0
Ida,12367,1009,834,33,31,2
Adair,12182,968,806,32,22,10
Audubon,12023,513,470,9,8,1
Davis,10808,868,762,24,23,1
Pending Investigation,10680,1029,949,0,0,0
Decatur,10302,605,577,9,9,0
Monroe,9610,989,886,28,21,7
Ringgold,9533,555,507,24,18,6
Lucas,9235,787,725,23,18,5
Osceola,8711,802,689,16,13,3
Taylor,8490,678,634,12,10,2
Van Buren,8312,582,525,18,15,3
Fremont,7208,650,576,9,7,2
Wayne,6810,563,484,23,18,5
Adams,5462,342,315,4,4,0
