County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,707032,64668,54990,622,548,74
Linn,297291,22140,19823,334,298,36
Black Hawk,218153,17240,15174,308,285,23
Scott,215540,21302,18534,240,217,23
Johnson,214686,15293,13763,83,77,6
Dubuque,194519,14618,12816,209,193,16
Story,164374,11334,10189,48,42,6
Woodbury,148918,16393,14599,228,209,19
Dallas,130240,12467,10744,98,85,13
Pottawattamie,121987,12184,10485,168,148,20
Marshall,83763,5182,4694,75,67,8
Warren,78835,6238,5415,88,78,10
Cerro Gordo,77884,5787,5101,89,74,15
Webster,69474,5397,4970,93,78,15
Clinton,64715,5998,5230,92,79,13
Des Moines,57121,4886,4340,66,55,11
Muscatine,56780,5092,4470,99,90,9
Lee,54723,3979,3627,55,42,13
Jasper,52937,4519,4035,71,66,5
Wapello,47863,4651,4127,122,118,4
Sioux,46711,5310,4960,74,70,4
Poweshiek,45751,1622,1495,33,30,3
Buena Vista,45649,4893,4171,40,36,4
Boone,44991,2811,2533,34,31,3
Marion,43100,3812,3482,75,64,11
Washington,42171,2705,2432,50,46,4
Winneshiek,40828,2048,1893,34,29,5
Bremer,39979,2966,2721,60,51,9
Plymouth,38958,4305,3867,80,72,8
Benton,37862,2712,2440,55,44,11
Carroll,37209,3066,2725,52,43,9
Fayette,36996,1928,1791,41,36,5
Henry,36819,3057,2816,37,36,1
Hardin,35547,1979,1747,43,34,9
Tama,33135,2218,1990,71,67,4
Cedar,31951,1982,1798,23,21,2
Mahaska,31934,2408,2177,51,46,5
Buchanan,31841,2010,1844,31,26,5
Clay,31240,2255,2064,25,20,5
Iowa,30204,1543,1427,24,22,2
Butler,29952,1739,1583,34,30,4
Delaware,29315,2128,1971,40,36,4
Crawford,28447,2901,2579,40,35,5
Dickinson,27312,2667,2348,43,37,6
Jones,27041,3093,2868,57,51,6
Kossuth,26709,2271,2056,64,56,8
O'Brien,26611,2146,1893,60,55,5
Floyd,26201,1776,1502,42,32,10
Jackson,26136,2341,2133,42,39,3
Clayton,25651,1779,1606,56,47,9
Hamilton,23715,1980,1729,49,45,4
Hancock,21831,1570,1394,34,27,7
Page,21794,1993,1873,22,20,2
Harrison,21718,1925,1676,73,69,4
Allamakee,21692,1563,1442,51,41,10
Mills,21626,1785,1560,22,19,3
Cherokee,21207,1685,1525,38,30,8
Madison,21151,1754,1507,19,15,4
Cass,21060,1461,1290,54,48,6
Wright,21059,1909,1759,36,29,7
Jefferson,20877,1440,1280,35,29,6
Sac,20666,1382,1242,19,19,0
Franklin,19913,1281,1101,21,19,2
Grundy,19614,1442,1317,33,27,6
Palo Alto,19212,1182,1073,23,22,1
Guthrie,18899,1290,1148,29,24,5
Calhoun,18764,1423,1319,13,12,1
Monona,18419,883,778,30,28,2
Appanoose,18354,1453,1215,49,44,5
Mitchell,18196,1369,1220,42,39,3
Winnebago,17889,1522,1323,31,26,5
Chickasaw,17856,1305,1212,15,13,2
Shelby,17711,1365,1238,37,33,4
Louisa,17623,1342,1217,49,42,7
Union,17567,1361,1201,33,26,7
Emmet,17372,1416,1232,40,38,2
Howard,17158,1090,1005,22,18,4
Lyon,16811,1581,1497,41,37,4
Keokuk,16011,1025,917,31,31,0
Humboldt,15650,1235,1155,26,23,3
Greene,15205,824,754,10,10,0
Montgomery,14598,1109,964,38,36,2
Clarke,13683,1056,959,24,22,2
Pocahontas,13523,895,817,22,22,0
Worth,13404,785,696,8,7,1
Ida,12772,1013,850,34,32,2
Adair,12444,983,811,32,22,10
Audubon,12417,525,480,10,9,1
Davis,11395,896,775,24,23,1
Decatur,10540,621,586,9,9,0
Ringgold,10113,576,527,24,18,6
Monroe,9908,994,905,29,22,7
Pending Investigation,9705,1003,933,0,0,0
Lucas,9554,799,728,23,18,5
Osceola,9243,809,724,16,13,3
Taylor,8849,680,641,12,10,2
Van Buren,8629,581,539,18,15,3
Fremont,7447,657,602,9,7,2
Wayne,7286,577,493,23,18,5
Adams,5759,350,325,4,4,0
