Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.1810082063305979,American Indian or Alaska Native
Asian,0.39020910852482795,Asian
Black,0.21234143866359629,Black
Native Hawaiian or Other Pacific Islander,0.3686511240632806,Native Hawaiian or Other Pacific Islander
Other Race,0.5496752932053892,Other Race
White,0.42959553422779359,White
