Age Group Public,RECIP_ID
0 - 11,48
12 - 15,138855
16 - 17,76748
18 - 19,83217
20 - 29,400414
30 - 39,434300
40 - 49,437890
50 - 59,520082
60 - 64,313085
65+,952463
