RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19103,82487,78066,4421
19153,223918,212324,11594
19047,6514,5236,1278
19125,12796,10734,2062
19053,2338,2116,222
19169,45674,43159,2515
19187,14976,13875,1101
19091,3643,3300,343
19155,33769,31746,2023
19139,18442,14801,3641
19085,5118,4796,322
19149,9765,7765,2000
19113,109826,102119,7707
19063,3575,3289,286
19181,21770,20609,1161
19065,8122,7603,519
19095,7551,6933,618
19121,6434,6140,294
19013,57122,52100,5022
19087,7824,6428,1396
19015,12366,11694,672
19163,65542,60788,4754
19129,5272,5011,261
19031,8381,7752,629
19045,17473,16186,1287
19077,4624,4321,303
19001,2678,2380,298
19171,7537,6774,763
19049,43072,40909,2163
19007,4288,3906,382
19021,8704,5990,2714
19079,6945,6302,643
19027,9539,8572,967
19099,15618,14183,1435
19073,3750,3272,478
19157,8190,7769,421
19109,6043,5529,514
19189,4185,3636,549
19127,17374,15033,2341
19009,2520,2382,138
19105,9290,8371,919
19183,9260,8624,636
19161,3939,3636,303
19061,47841,46248,1593
19033,19421,17948,1473
19003,1449,1401,48
19117,2916,2555,361
19151,2631,2434,197
19035,4658,4320,338
19137,4084,3576,508
19197,5365,4497,868
19055,6939,6149,790
19011,10971,10137,834
19191,9576,8749,827
19017,11298,10322,976
19175,4643,4403,240
19165,5226,5027,199
19131,3949,3780,169
19193,37801,33549,4252
19081,4025,3599,426
19145,5909,5467,442
19173,2182,2123,59
19043,6680,6137,543
19023,6510,6123,387
19141,5362,4888,474
19041,6348,6005,343
19159,1947,1910,37
19115,4106,3123,983
19167,11008,9423,1585
19019,8391,7826,565
19111,11776,10412,1364
19179,12195,10137,2058
19195,2862,2696,166
19059,7772,7537,235
19029,5726,5395,331
19089,3506,3082,424
19067,6212,5756,456
19039,3594,2920,674
19147,3487,3282,205
19075,5776,5350,426
19037,4911,4273,638
19093,2523,2145,378
19005,5066,4860,206
19057,13810,13025,785
19071,2406,2222,184
19069,3983,3652,331
19097,7903,7557,346
19123,7011,6283,728
19135,2695,2404,291
19101,6449,5781,668
19025,4412,4127,285
19083,7126,6269,857
19133,3452,3260,192
19143,2129,1937,192
19051,2415,2275,140
19107,3553,3274,279
19177,2176,1994,182
19119,3336,3180,156
19185,1985,1824,161
,42,36,6
