RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,508156,19027,237902,13325
19161,8053,159,3776,342
19027,19606,419,9085,1017
19013,122474,3678,56677,5442
19017,23936,622,11128,1058
19019,17958,428,8446,638
19103,176231,4499,83401,4930
19195,6064,123,2875,191
19033,41786,1206,19421,1738
19081,8215,153,3799,464
19169,99947,3398,46884,2781
19139,37534,1230,16128,4048
19165,10978,233,5257,231
19009,5317,77,2543,154
19191,20046,425,9363,895
19065,17134,470,8034,596
19061,101935,2008,49066,1795
19147,7304,181,3445,233
19183,19798,559,9263,713
19003,3107,77,1484,62
19173,4644,109,2229,77
19041,13554,350,6399,406
19125,26036,766,11562,2146
19123,14658,446,6701,810
19157,17514,462,8294,464
19099,33611,915,15551,1594
19073,7955,223,3607,518
19113,237612,6409,111338,8527
19049,96582,3074,45548,2412
19193,81140,3267,36616,4641
19171,15838,484,7251,852
19109,12731,329,5920,562
19187,32121,1106,14809,1397
19011,23185,570,10854,907
19045,38339,1353,17762,1462
19067,13106,339,6108,551
19189,8541,219,3870,582
19131,8352,152,3995,210
19029,12052,306,5692,362
19135,5593,141,2564,324
19127,37889,1203,17002,2682
19063,7583,350,3460,313
19159,4157,87,2015,40
19115,8019,243,3363,1050
19163,144688,4901,67239,5309
19149,19373,521,8368,2116
19059,16523,441,7902,278
19093,5090,117,2280,413
19015,27177,737,12843,754
19141,11071,223,5160,528
19075,12057,371,5597,492
19091,7470,186,3458,368
19151,5582,119,2620,223
19055,14146,306,6497,846
19101,13875,492,6333,717
19005,10718,301,5093,231
19181,48043,1589,22543,1368
19025,9144,202,4297,348
19083,14472,313,6616,927
19069,8394,216,3901,376
19023,13632,299,6444,445
19133,7232,164,3414,240
19085,10807,374,5035,363
19137,8450,310,3805,530
19111,24958,669,11357,1575
19197,10935,288,4866,915
19179,25199,741,11030,2398
19121,13966,403,6611,341
19143,4368,82,2032,222
19051,5221,157,2451,162
19047,12978,334,5661,1322
19145,12568,464,5783,538
19043,13547,240,6361,585
19057,30625,1236,14245,899
19007,9042,256,4181,424
19107,7440,164,3486,304
19077,10088,278,4733,344
19129,11909,400,5614,281
19021,16801,587,6603,3008
19087,15750,491,6825,1609
19079,14578,357,6771,679
19035,9610,229,4503,375
19001,5647,156,2585,321
19037,9931,207,4512,700
19095,16074,401,7484,705
19167,22083,510,9939,1695
19089,7188,170,3272,474
19119,6849,113,3280,176
19185,4257,116,1983,175
19039,7420,256,3226,712
19155,75744,2738,35422,2162
19117,6042,142,2745,410
19031,17780,429,8340,671
19175,10023,316,4717,273
19071,5045,141,2353,198
19053,4902,154,2257,234
19177,4504,132,2077,218
19097,16716,361,7988,379
19105,19331,387,8952,1040
,88,7,38,5
