Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.15029308323563893,American Indian or Alaska Native
Asian,0.3368798963373316,Asian
Black,0.17009484407322118,Black
Native Hawaiian or Other Pacific Islander,0.305578684429642,Native Hawaiian or Other Pacific Islander
Other Race,0.46908015896093827,Other Race
White,0.3927815940792143,White
