RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,250187,236953,13234
19161,4109,3769,340
19027,10083,9072,1011
19013,61910,56491,5419
19017,12141,11084,1057
19019,9061,8425,636
19195,3061,2870,191
19033,21085,19359,1726
19081,4250,3788,462
19169,49534,46777,2757
19139,20135,16092,4043
19165,5478,5249,229
19009,2690,2536,154
19191,10247,9354,893
19103,88105,83238,4867
19065,8618,8023,595
19061,50741,48965,1776
19147,3669,3441,228
19183,9936,9226,710
19193,41105,36483,4622
19003,1544,1482,62
19173,2293,2217,76
19041,6788,6388,400
19125,13670,11528,2142
19123,7487,6679,808
19157,8726,8271,455
19099,17070,15480,1590
19073,4118,3603,515
19113,119507,111033,8474
19049,47780,45385,2395
19171,8071,7221,850
19109,6465,5903,562
19187,16163,14774,1389
19011,11706,10803,903
19045,19143,17689,1454
19067,6630,6091,539
19189,4441,3859,582
19131,4184,3976,208
19029,6043,5686,357
19135,2881,2557,324
19127,19584,16921,2663
19063,3767,3453,314
19159,2052,2010,42
19115,4397,3351,1046
19163,72247,66966,5281
19149,10456,8342,2114
19059,8157,7884,273
19093,2677,2268,409
19015,13553,12804,749
19141,5677,5152,525
19075,6065,5587,478
19091,3829,3462,367
19151,2828,2609,219
19055,7326,6479,847
19101,7025,6308,717
19005,5311,5081,230
19181,23844,22489,1355
19025,4635,4290,345
19083,7537,6612,925
19069,4266,3891,375
19023,6873,6432,441
19133,3653,3413,240
19085,5392,5030,362
19137,4326,3799,527
19111,12892,11335,1557
19197,5772,4861,911
19179,13387,10994,2393
19121,6931,6592,339
19143,2254,2032,222
19051,2601,2438,163
19047,6973,5652,1321
19145,6307,5769,538
19043,6933,6350,583
19057,15094,14202,892
19007,4593,4169,424
19107,3775,3473,302
19077,5059,4719,340
19129,5875,5595,280
19021,9547,6542,3005
19087,8401,6803,1598
19079,7419,6742,677
19035,4858,4485,373
19001,2897,2576,321
19037,5202,4505,697
19095,8160,7458,702
19167,11599,9919,1680
19089,3744,3269,475
19119,3446,3271,175
19185,2150,1978,172
19039,3922,3214,708
19097,8343,7966,377
19155,37411,35275,2136
19117,3142,2738,404
19031,8988,8317,671
19175,4971,4699,272
19071,2546,2348,198
19053,2487,2254,233
19177,2279,2070,209
19105,9968,8934,1034
,44,38,6
