County,Series Initiated,Series Completed
Polk,46718,20773
Johnson,18612,13728
Linn,16471,9897
Scott,13997,5634
Black Hawk,11629,4793
Dubuque,8841,5117
Pottawattamie,8397,5690
Woodbury,7221,4114
Story,6021,4246
Dallas,5523,2276
Cerro Gordo,5463,2411
Des Moines,3432,1573
Webster,3373,1493
Warren,3305,1406
Jasper,2830,1667
Clinton,2812,1070
Plymouth,2273,354
Lee,2267,1370
Bremer,2213,2083
Wapello,2088,1138
Sioux,2048,1022
Clay,2032,1135
Marion,1969,962
Marshall,1812,900
Muscatine,1722,845
Boone,1614,1363
Kossuth,1510,339
Carroll,1487,1414
Jackson,1468,453
Fayette,1414,475
Benton,1322,664
Buchanan,1261,623
Winneshiek,1261,710
Poweshiek,1245,388
Clayton,1229,515
Dickinson,1225,552
Cedar,1202,492
Washington,1191,266
Henry,1189,567
Tama,1181,389
Floyd,1170,299
Iowa,1143,348
Grundy,1107,373
Hardin,1094,553
Jefferson,1086,482
Hamilton,1083,505
Mahaska,1075,316
Jones,1050,615
Madison,1044,265
Crawford,1035,391
Butler,1035,162
Cass,1007,502
Buena Vista,1007,539
Harrison,983,188
Page,976,679
Mills,953,477
Sac,948,217
Delaware,916,507
Allamakee,898,318
Franklin,876,176
O'Brien,840,644
Union,828,381
Shelby,805,485
Calhoun,782,421
Cherokee,744,509
Winnebago,743,190
Appanoose,742,290
Guthrie,719,271
Louisa,648,114
Taylor,643,95
Lucas,629,160
Palo Alto,626,401
.,614,3219
Mitchell,610,230
Davis,608,157
Lyon,604,178
Monroe,597,149
Greene,595,259
Ringgold,572,204
Hancock,551,309
Wayne,544,210
Emmet,543,238
Chickasaw,541,192
Worth,530,70
Wright,517,462
Montgomery,511,354
Fremont,491,101
Monona,486,214
Adair,464,113
Humboldt,449,308
Audubon,441,314
Decatur,414,177
Clarke,410,200
Osceola,400,137
Howard,399,221
Keokuk,388,199
Pocahontas,385,129
Adams,379,116
Ida,375,223
Van Buren,344,95
