County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,215990,40096,33002,406,370,36
Linn,93761,16221,13925,240,225,15
Scott,68907,13688,11043,146,138,8
Johnson,63740,10755,9360,47,43,4
Black Hawk,56352,12402,10782,214,201,13
Woodbury,49032,11984,10291,163,151,12
Dubuque,47265,10367,9085,135,127,8
Story,45127,7816,6805,29,25,4
Dallas,42508,7635,6264,63,53,10
Pottawattamie,38931,8014,6325,89,81,8
Warren,21829,3601,2765,33,31,2
Cerro Gordo,19442,4216,3463,59,50,9
Webster,18330,4324,3529,61,55,6
Clinton,17493,4012,3257,53,47,6
Muscatine,17126,3460,2838,73,66,7
Des Moines,17023,3412,2845,32,29,3
Marshall,16679,3917,3431,54,51,3
Jasper,14204,2764,2136,52,50,2
Wapello,13384,3016,2472,90,88,2
Sioux,13090,4260,3712,41,40,1
Lee,12723,2776,2008,24,20,4
Buena Vista,12707,3619,3016,25,22,3
Marion,12196,2583,2020,46,40,6
Plymouth,11135,3295,2719,51,45,6
Boone,10611,1787,1364,15,13,2
Benton,10159,1946,1663,36,32,4
Washington,9461,1798,1396,27,26,1
Carroll,9434,2303,1944,27,21,6
Pending Investigation,9383,586,391,0,0,0
Bremer,9343,2208,1934,41,38,3
Henry,9042,2429,1935,24,24,0
Dickinson,8576,1665,1367,15,13,2
Mahaska,8256,1629,1225,32,30,2
Jones,8080,2544,2295,44,43,1
Winneshiek,7829,1334,946,17,15,2
Buchanan,7513,1393,1156,16,15,1
Crawford,7313,2054,1742,20,17,3
Fayette,7202,1302,1027,16,15,1
Cedar,7196,1339,1050,18,17,1
Jackson,7181,1742,1495,29,28,1
Tama,6844,1716,1483,55,53,2
Clay,6791,1508,1154,11,8,3
Poweshiek,6752,1161,977,24,22,2
Hardin,6721,1418,1142,25,23,2
Wright,6714,1493,1225,16,14,2
Iowa,6509,1115,911,20,19,1
Mills,6492,1249,1061,14,13,1
Delaware,6480,1595,1411,29,28,1
Floyd,6225,1245,1012,33,25,8
Kossuth,6207,1467,1041,27,26,1
Hamilton,6077,1430,1098,22,22,0
Jefferson,5936,953,703,20,19,1
Madison,5797,904,685,8,7,1
Clayton,5547,1323,1091,39,35,4
Butler,5512,1224,993,18,17,1
O'Brien,5483,1561,1283,50,46,4
Union,5465,998,756,16,16,0
Harrison,5281,1379,1050,52,49,3
Cass,5042,1005,780,38,36,2
Page,4996,1329,1192,13,13,0
Winnebago,4936,1085,889,28,23,5
Allamakee,4859,1130,765,20,16,4
Cherokee,4782,1183,834,20,18,2
Hancock,4763,1138,852,24,19,5
Appanoose,4706,927,774,34,34,0
Grundy,4551,1027,842,15,12,3
Guthrie,4532,916,734,22,17,5
Calhoun,4531,1162,1048,9,9,0
Mitchell,4494,979,771,27,27,0
Louisa,4401,1019,837,24,20,4
Sac,4394,1018,831,14,14,0
Chickasaw,4265,1008,845,10,9,1
Shelby,4191,914,751,23,23,0
Franklin,4077,863,720,17,16,1
Emmet,4072,966,774,23,22,1
Humboldt,3866,929,766,18,15,3
Lyon,3693,1216,1013,24,22,2
Clarke,3674,633,479,6,6,0
Palo Alto,3666,786,646,8,8,0
Howard,3460,672,529,15,11,4
Greene,3450,631,520,7,7,0
Montgomery,3407,696,457,15,14,1
Keokuk,3273,763,589,23,23,0
Monona,3037,538,433,15,14,1
Lucas,2960,512,316,7,7,0
Pocahontas,2944,680,559,11,11,0
Worth,2910,491,359,2,2,0
Adair,2896,561,431,17,13,4
Decatur,2686,408,321,3,3,0
Ida,2608,680,469,22,21,1
Davis,2512,609,477,18,17,1
Monroe,2505,599,429,16,15,1
Van Buren,2177,445,369,11,10,1
Fremont,2172,454,373,5,3,2
Taylor,2091,526,460,8,7,1
Audubon,2029,363,293,7,7,0
Osceola,2002,604,522,7,6,1
Ringgold,1918,348,214,7,6,1
Wayne,1777,357,290,21,17,4
Adams,1252,245,169,2,2,0
,,,,1,1,0
