ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,533496,22116,249159,13457
19021,18201,655,6924,3601
19027,20939,549,9539,1137
19049,91312,3336,43398,2564
19181,35568,1233,16723,1060
19013,143512,4538,66254,6263
19033,53071,1969,24506,2013
19169,103238,4277,48423,2920
19195,3493,47,1724,1
19083,13850,277,6083,1347
19189,8516,258,3866,510
19155,97196,4038,43660,4918
19139,33436,1083,13601,5032
19009,4138,37,2000,101
19005,11479,298,5527,119
19099,29287,722,13802,1166
19103,187758,5719,89025,4344
19017,26270,800,12089,1292
19065,21312,486,9936,942
19061,123422,3151,59107,2254
19041,16940,502,8091,312
19147,6912,172,3276,161
19193,93757,4204,42493,4992
19003,3577,73,1652,10
19173,4532,85,2197,24
19175,10212,351,4814,327
19067,13937,289,6254,1123
19063,10202,553,4571,387
19035,9747,221,4610,301
19123,15749,490,7313,584
19183,15350,516,7134,555
19179,25796,836,11931,980
19073,9490,200,4351,515
19113,254741,7475,119749,9029
19019,12961,327,6149,343
19101,16127,593,7277,987
19127,31160,1024,13640,2983
19109,12596,327,5865,502
19187,36590,1476,16730,1377
19037,5996,113,2770,351
19011,15693,355,7432,466
19045,35975,1631,16322,1623
19081,6761,74,2984,719
19131,9072,153,4364,170
19029,21261,477,10058,438
19135,6833,178,3158,306
19059,15787,502,7513,260
19159,4290,86,2070,6
19163,171403,6519,78628,6396
19125,28720,842,11844,4043
19149,17397,427,6970,2990
19015,23396,584,11145,581
19141,11057,261,5214,361
19091,8550,227,3882,410
19151,3992,68,1879,161
19055,10083,214,4561,783
19031,12789,248,6142,290
19167,22983,545,9860,2710
19143,3214,42,1495,184
19161,6598,93,3216,54
19069,7289,157,3433,258
19133,4506,83,2110,219
19075,9778,333,4501,433
19171,17818,535,8105,984
19137,7281,310,3182,584
19111,26837,923,11832,2015
19197,11545,276,4778,1731
19047,14009,369,6012,1592
19077,9125,189,4319,279
19093,3754,87,1582,506
19051,8269,178,3184,1670
19025,8478,88,4084,190
19145,14789,620,6644,851
19057,37971,1790,17699,731
19007,9170,292,4150,486
19157,18907,471,9043,443
19191,17616,515,8034,1063
19023,7884,88,3798,178
19087,16895,513,7184,1962
19001,4780,114,2189,335
19079,14511,250,6845,411
19095,12118,208,5632,627
19119,6119,116,2956,79
19043,12775,189,5936,669
19117,7416,163,3370,425
19039,9970,271,4159,1365
19107,3324,34,1596,100
19165,11836,266,5690,149
19185,6445,174,2885,393
19115,8044,149,3182,1541
19053,6045,167,2829,123
19177,3024,76,1410,126
19121,14159,285,6815,167
19085,7063,239,3277,257
,10378,243,5211,1
19105,13456,260,6107,933
19097,16470,344,7940,263
19129,12276,502,5795,155
19089,4568,119,2138,189
19071,3363,65,1600,98
