County,Series Initiated,Series Completed
Polk,54030,25669
Linn,22651,12802
Johnson,19948,15199
Scott,16951,7099
Black Hawk,16329,5994
Dubuque,10154,6794
Pottawattamie,9936,6374
Woodbury,8911,5370
Story,8039,4698
Dallas,6207,3106
Cerro Gordo,6146,2766
Des Moines,4354,1912
Webster,3655,2006
Warren,3622,1661
Clinton,3316,1378
Jasper,3254,1948
Plymouth,2795,387
Marion,2621,1003
Sioux,2612,1112
Lee,2603,1648
Bremer,2591,2675
Wapello,2459,1406
Marshall,2424,973
Jackson,2033,510
Muscatine,2031,984
Poweshiek,1987,444
Tama,1976,412
Boone,1968,1567
Benton,1901,882
Washington,1827,419
Clay,1808,1816
Clayton,1793,517
Winneshiek,1790,787
Kossuth,1772,343
Fayette,1771,521
Carroll,1739,1662
Mahaska,1706,358
Iowa,1694,354
Dickinson,1690,625
Buchanan,1628,643
Buena Vista,1609,611
Cedar,1592,524
Floyd,1559,336
Madison,1548,331
Henry,1522,660
Hamilton,1499,532
Butler,1476,200
Page,1475,792
Hardin,1466,615
Crawford,1439,441
Jones,1363,618
Jefferson,1358,503
Allamakee,1324,402
Cass,1282,602
Harrison,1260,200
Shelby,1222,496
O'Brien,1215,723
Grundy,1176,463
Sac,1125,230
Mills,1121,545
Union,1072,414
Wright,1052,525
Mitchell,1015,238
Franklin,997,257
Delaware,994,642
Cherokee,961,595
Calhoun,940,453
Guthrie,934,332
Lyon,929,201
Louisa,925,133
Appanoose,885,374
Hancock,865,345
Winnebago,858,269
Chickasaw,828,221
Lucas,827,180
Taylor,807,97
Davis,776,167
Monroe,711,221
Wayne,703,395
Montgomery,677,373
Emmet,673,259
Greene,666,284
Monona,656,259
Ringgold,649,217
Worth,619,101
Out of State,611,3219
Palo Alto,604,445
Howard,582,248
Fremont,577,139
Pocahontas,572,141
Ida,568,246
Humboldt,567,319
Audubon,553,323
Van Buren,530,130
Adair,525,148
Decatur,487,225
Osceola,477,160
Clarke,472,241
Adams,466,125
Keokuk,444,229
