RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,502417,18678,235317,13103
19161,8006,153,3758,337
19027,19501,386,9056,1003
19013,121341,3557,56201,5385
19017,23733,602,11041,1049
19019,17797,399,8383,632
19195,5996,119,2845,187
19033,41399,1143,19273,1710
19081,8149,149,3770,460
19169,99236,3384,46560,2730
19139,37230,1177,16012,4028
19165,10906,221,5230,225
19009,5275,77,2522,154
19191,19920,435,9297,891
19103,175224,4485,82956,4830
19065,17021,429,8002,588
19061,101282,1895,48814,1758
19147,7241,174,3421,224
19183,19627,545,9186,708
19193,80111,3074,36213,4611
19003,3085,72,1476,61
19173,4591,95,2211,74
19041,13450,319,6366,398
19125,25793,708,11476,2134
19123,14507,426,6639,804
19157,17369,447,8234,454
19099,33275,907,15393,1581
19073,7897,211,3586,514
19113,235792,6316,110537,8401
19049,95655,3012,45137,2373
19171,15702,472,7191,847
19109,12643,319,5883,559
19187,31796,1004,14703,1384
19011,23000,590,10755,900
19045,37738,1080,17607,1446
19067,13006,333,6070,533
19189,8478,212,3843,580
19131,8256,154,3950,202
19029,11968,274,5669,355
19135,5538,127,2545,321
19127,37448,1214,16808,2619
19063,7541,347,3441,313
19159,4129,73,2007,42
19115,7939,232,3335,1038
19163,143304,4788,66632,5252
19149,19189,479,8302,2106
19059,16405,431,7851,272
19093,5044,108,2265,405
19015,26956,710,12751,744
19141,11003,223,5129,522
19075,11931,311,5572,476
19091,7421,171,3444,362
19151,5527,112,2600,215
19055,14046,285,6457,847
19101,13736,484,6270,712
19005,10652,294,5064,230
19181,47609,1507,22382,1338
19025,9094,197,4279,339
19083,14366,274,6585,922
19069,8336,200,3881,374
19023,13540,287,6406,441
19133,7198,144,3410,234
19085,10738,358,5009,362
19137,8377,290,3781,525
19111,24707,675,11242,1548
19197,10855,254,4847,907
19179,24909,697,10919,2373
19121,13850,383,6566,335
19143,4340,74,2024,218
19051,5173,146,2432,163
19047,12864,308,5618,1320
19145,12471,453,5742,534
19043,13489,234,6339,577
19057,30286,1169,14116,885
19007,8977,253,4152,419
19107,7373,165,3453,302
19077,10009,277,4697,338
19129,11790,387,5562,279
19021,16564,605,6479,3002
19087,15603,456,6778,1590
19079,14420,346,6701,674
19035,9546,229,4474,369
19001,5609,155,2567,320
19037,9864,194,4490,690
19095,15948,405,7421,701
19167,21912,493,9872,1675
19089,7134,147,3259,469
19119,6797,107,3258,174
19185,4225,115,1970,171
19039,7324,242,3189,704
19097,16571,316,7940,375
19155,74888,2681,35040,2132
19117,5975,136,2721,397
19031,17628,418,8273,663
19175,9918,305,4672,268
19071,5005,127,2340,198
19053,4858,138,2244,232
19177,4455,115,2066,209
19105,19205,360,8908,1029
,88,6,38,6
