County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,36675,79263,978,197575
Linn,22315,38624,3069,101624
Scott,18549,24282,910,68493
Johnson,15280,35859,230,87677
Black Hawk,14686,24514,2102,65962
Dubuque,13596,19181,310,52253
Woodbury,10582,14191,100,38609
Pottawattamie,10360,16304,3415,47187
Story,9064,14028,386,37377
Cerro Gordo,8052,8293,1004,25503
Webster,4990,5426,496,16324
Cass,4895,1635,0,8158
Dallas,4883,10930,1042,27241
Clinton,4672,4587,98,13953
Des Moines,4483,7065,213,18650
Warren,3845,5287,91,14224
Marshall,3813,2814,1576,10987
Muscatine,3633,3599,1293,12112
Lee,3560,4105,195,12125
Marion,3412,3677,989,11742
Fayette,3385,2402,200,8370
Wapello,3382,3976,0,11326
Bremer,2948,4996,110,13009
Allamakee,2863,1421,0,5704
Sioux,2749,3717,1301,11477
Jackson,2743,2443,0,7613
Poweshiek,2621,1840,0,6305
Jasper,2551,5106,101,12615
Boone,2549,3618,97,9838
Tama,2383,2297,622,7494
Clarke,2256,668,1107,4678
Henry,2211,2021,104,6374
Mitchell,2201,1201,0,4605
Emmet,2179,1085,0,4367
Clay,2164,3739,0,9567
Clayton,2162,2238,0,6638
Washington,2122,1723,1,5566
Dickinson,2057,2522,0,7093
Kossuth,2026,2070,0,6162
Benton,2010,2505,0,7022
Mahaska,1977,2035,0,6039
Winneshiek,1957,2314,1,6582
Cedar,1923,2151,0,6222
Appanoose,1919,1102,0,4109
Madison,1895,1880,0,5654
Buchanan,1888,2104,0,6089
Jefferson,1861,1809,95,5573
Carroll,1855,3286,599,9048
Hamilton,1850,2113,0,6085
Crawford,1828,1850,1267,6785
Page,1769,2053,85,5955
Buena Vista,1765,2279,2431,8816
Shelby,1739,1675,33,5123
Hardin,1675,1968,0,5600
Floyd,1649,2033,144,5846
Calhoun,1635,1369,0,4371
O'Brien,1610,2063,0,5745
Mills,1553,1739,0,5032
Union,1507,1322,0,4150
Grundy,1369,1552,0,4477
Cherokee,1357,1717,80,4868
Franklin,1352,1212,0,3771
Guthrie,1347,1229,0,3791
Jones,1322,1937,0,5241
Plymouth,1267,3298,2496,10358
Butler,1262,1615,0,4491
Davis,1244,916,1476,4541
Iowa,1243,1972,0,5184
Delaware,1243,1605,100,4551
Decatur,1237,716,0,2644
Winnebago,1226,1051,0,3326
Palo Alto,1213,1148,0,3510
Sac,1170,1330,0,3832
Wright,1151,1476,1324,5411
Chickasaw,1044,948,0,2936
Hancock,991,1073,0,3135
Taylor,953,889,0,2727
Louisa,928,1232,1389,4777
Lyon,909,1075,0,3056
Humboldt,882,1035,0,2949
Lucas,863,1042,96,3035
Harrison,861,1404,0,3669
Monroe,825,1040,99,2997
Adair,821,653,0,2124
Greene,779,1147,100,3171
Adams,776,582,0,1937
Wayne,697,1240,0,3178
Ringgold,685,858,0,2389
Montgomery,647,1181,99,3110
Audubon,592,873,0,2338
Van Buren,538,363,0,1263
Pocahontas,508,708,85,2008
Howard,498,806,0,2109
Monona,497,897,0,2285
Fremont,484,698,0,1880
Worth,482,691,0,1860
Ida,435,796,0,2031
Keokuk,417,669,0,1754
Osceola,415,632,0,1680
Out of State,265,3776,0,7837
