County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,40233,201097,9732,452006
Linn,17163,100083,7523,223561
Johnson,12010,76394,3563,168008
Scott,10467,66708,5163,150301
Story,7512,41314,2316,91568
Black Hawk,7254,57529,5379,127941
Pottawattamie,6294,36915,4612,85677
Dallas,6283,35936,1963,78752
Dubuque,4863,53662,1787,113771
Woodbury,4761,37119,4348,82934
Cerro Gordo,2753,21684,1477,47658
Des Moines,2243,15434,615,33760
Webster,2118,14430,971,32182
Warren,2053,14718,787,32103
Clinton,1995,13724,1226,30751
Jasper,1816,11636,826,25738
Muscatine,1716,11512,4440,29295
Marshall,1633,11344,2590,26852
Tama,1585,6697,956,15897
Wapello,1356,10346,500,22653
Bremer,1174,10814,1100,23891
Lee,1128,10428,1520,23763
Marion,1084,10605,3924,26360
Boone,1041,9795,452,21026
Jefferson,969,6242,856,14311
Henry,900,6260,1564,15036
Washington,900,6157,464,13691
Winneshiek,881,6813,890,15397
Poweshiek,874,7984,274,17066
Carroll,863,8505,975,19004
Page,846,5982,650,13479
Sioux,803,8922,2500,21160
Buena Vista,768,5920,3211,15909
Mills,750,4761,122,10413
Mahaska,725,6533,396,14232
Emmet,660,4289,336,9678
Cass,643,9437,331,20061
Fayette,638,9297,849,20101
Clay,630,7405,156,15554
Benton,609,6779,414,14594
Dickinson,595,6861,176,14500
Jones,584,5409,750,12218
Madison,519,6314,136,13330
Plymouth,489,6353,2827,16059
Guthrie,486,3835,210,8381
Kossuth,483,5280,381,11476
Floyd,462,5692,918,12781
Jackson,456,7351,198,15338
Union,452,4273,219,9135
Delaware,442,4058,697,9225
Wright,439,4244,1572,10481
Crawford,427,5392,1521,12756
Cedar,425,5683,246,12013
Greene,420,3952,448,8845
Allamakee,416,5178,88,10864
Hardin,411,5530,1229,12756
Hamilton,400,6303,381,13537
O'Brien,382,4745,284,10164
Appanoose,375,3837,441,8578
Montgomery,365,2850,546,6639
Clarke,360,3715,1311,9114
Shelby,353,5259,88,11006
Harrison,336,3118,208,6790
Buchanan,333,5680,255,11948
Iowa,332,5247,532,11378
Cherokee,329,4241,217,9035
Grundy,322,4178,301,8989
Humboldt,308,3631,344,8054
Clayton,299,5717,624,12402
Lucas,290,3044,365,6838
Winnebago,290,3531,449,7826
Monroe,287,2832,243,6224
Monona,271,1820,126,4024
Mitchell,269,4040,118,8485
Out of State,252,5284,0,10474
Wayne,242,2745,358,6187
Decatur,231,2659,114,5751
Palo Alto,219,3065,125,6505
Lyon,218,2780,51,5828
Louisa,207,2998,1507,7686
Hancock,204,2750,677,6380
Davis,197,3009,1637,7882
Franklin,182,3216,213,6837
Adair,168,2018,308,4448
Ringgold,160,1897,3,4008
Calhoun,158,3972,155,8283
Butler,153,3699,136,7694
Chickasaw,150,2626,305,5700
Howard,131,1945,139,4145
Sac,128,3157,39,6498
Adams,127,1566,4,3442
Taylor,126,2092,10,4340
Ida,118,1456,463,3490
Fremont,107,1504,89,3203
Van Buren,105,1352,90,2900
Keokuk,99,1481,100,3161
Audubon,98,1903,101,4002
Worth,92,1612,0,3313
Pocahontas,85,1781,140,3789
Osceola,81,1382,145,2990
