County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,244055,49026,43643,513,457,56
Linn,104769,18848,17055,300,273,27
Scott,77370,16493,14900,189,178,11
Johnson,71299,12655,11604,65,61,4
Black Hawk,64009,14550,13234,265,250,15
Woodbury,53689,13373,12606,202,188,14
Dubuque,51957,11962,10935,185,174,11
Story,50166,9163,8406,43,38,5
Dallas,48095,9558,8473,84,73,11
Pottawattamie,43070,9461,8634,134,120,14
Warren,24919,4856,4122,66,62,4
Cerro Gordo,21740,4875,4465,76,64,12
Clinton,19848,4781,4329,76,69,7
Webster,19794,4801,4549,83,70,13
Muscatine,19229,4044,3674,85,76,9
Des Moines,19103,4093,3677,54,47,7
Marshall,18957,4473,4141,68,63,5
Jasper,15975,3455,3022,64,60,4
Wapello,15576,3657,3215,103,101,2
Sioux,14385,4664,4429,66,63,3
Lee,14339,3421,3026,46,34,12
Marion,13977,3248,2894,63,55,8
Buena Vista,13729,4024,3828,36,33,3
Boone,12246,2322,2075,25,23,2
Plymouth,12115,3589,3381,74,67,7
Benton,11260,2221,2003,52,42,10
Bremer,10977,2573,2360,52,46,6
Washington,10659,2309,2046,40,38,2
Carroll,10383,2608,2452,45,38,7
Henry,9918,2732,2542,33,33,0
Mahaska,9373,2074,1811,43,39,4
Dickinson,9372,1930,1782,37,31,6
Winneshiek,8988,1696,1450,26,22,4
Jones,8968,2809,2630,53,50,3
Pending Investigation,8914,1090,793,0,0,0
Buchanan,8462,1686,1524,26,24,2
Fayette,8306,1722,1506,27,24,3
Jackson,8110,2026,1832,37,34,3
Cedar,8095,1606,1435,20,19,1
Crawford,8025,2421,2216,34,30,4
Poweshiek,7988,1434,1269,28,26,2
Tama,7694,1963,1778,63,61,2
Clay,7518,1780,1602,25,20,5
Hardin,7477,1631,1492,33,30,3
Wright,7313,1696,1570,28,24,4
Iowa,7297,1336,1186,23,21,2
Delaware,7141,1817,1651,37,33,4
Kossuth,7079,1898,1625,52,46,6
Mills,7069,1428,1324,20,17,3
Jefferson,6944,1250,1144,31,27,4
Floyd,6912,1447,1320,38,30,8
Madison,6819,1337,1104,13,10,3
Hamilton,6728,1672,1521,38,37,1
Butler,6333,1551,1398,29,26,3
Clayton,6271,1568,1448,52,44,8
O'Brien,6042,1752,1612,58,54,4
Union,6013,1157,1046,30,25,5
Harrison,5916,1631,1446,67,63,4
Cass,5698,1205,1059,46,44,2
Winnebago,5506,1260,1129,30,25,5
Page,5493,1541,1416,17,16,1
Allamakee,5417,1350,1206,39,33,6
Cherokee,5398,1416,1312,35,29,6
Appanoose,5373,1160,1021,45,43,2
Hancock,5325,1352,1237,26,21,5
Grundy,5242,1259,1161,30,25,5
Guthrie,5042,1065,983,27,22,5
Mitchell,4993,1182,1089,39,38,1
Louisa,4904,1188,1088,40,33,7
Calhoun,4854,1257,1201,9,9,0
Sac,4829,1150,1069,17,17,0
Chickasaw,4828,1157,1094,12,11,1
Shelby,4793,1110,964,32,29,3
Franklin,4646,1074,962,19,18,1
Emmet,4561,1124,1037,37,36,1
Clarke,4339,880,730,18,18,0
Humboldt,4312,1099,1002,22,19,3
Lyon,4176,1410,1295,37,33,4
Palo Alto,4044,958,871,18,17,1
Howard,4021,942,779,20,16,4
Montgomery,4018,935,787,34,32,2
Greene,3725,714,661,8,8,0
Keokuk,3678,881,807,28,28,0
Lucas,3400,685,622,17,14,3
Monona,3392,736,596,21,20,1
Worth,3315,635,577,4,3,1
Adair,3246,721,645,25,19,6
Decatur,3198,526,468,7,7,0
Pocahontas,3190,799,751,17,17,0
Monroe,3024,855,762,26,21,5
Davis,2940,730,663,23,22,1
Ida,2931,795,691,31,30,1
Van Buren,2437,526,469,16,13,3
Fremont,2416,537,484,9,7,2
Audubon,2331,445,389,9,8,1
Taylor,2315,623,577,11,9,2
Osceola,2200,655,618,12,10,2
Ringgold,2159,482,410,16,15,1
Wayne,1989,431,392,21,17,4
Adams,1430,313,287,3,3,0
