County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,33338,72757,662,180908
Linn,22911,33999,2926,92814
Scott,17782,21186,467,61096
Johnson,15741,32690,202,81756
Black Hawk,14870,20893,2096,58900
Dubuque,13779,16494,310,47063
Woodbury,11751,12204,100,35876
Pottawattamie,10062,14291,2985,42351
Story,9984,11677,324,33536
Cerro Gordo,8598,6662,998,22783
Dallas,5366,9403,1042,24665
Des Moines,4658,5949,94,16472
Muscatine,4292,2489,1293,10547
Clinton,4110,3766,98,11735
Cass,3996,1229,0,6452
Webster,3692,4702,255,13336
Marion,3603,2916,514,9938
Wapello,3495,3138,0,9767
Fayette,3492,1794,200,7264
Warren,3470,4818,85,12903
Marshall,3455,2757,1576,10517
Lee,3253,3499,191,10602
Jackson,3227,1756,0,6736
Bremer,3155,4321,110,11861
Sioux,2867,2984,968,9797
Tama,2820,1672,584,6642
Poweshiek,2725,1223,0,5176
Allamakee,2616,1135,0,4885
Boone,2557,3041,97,8694
Dickinson,2489,1698,0,5877
Washington,2434,1154,1,4741
Clay,2397,3081,0,8486
Clayton,2355,1578,0,5512
Jasper,2226,4890,101,11856
Buena Vista,2208,1508,2381,7667
Henry,2193,1510,104,5339
Winneshiek,2171,1829,1,5823
Mahaska,2144,1575,0,5286
Page,2139,1372,85,4962
Benton,2023,2083,0,6191
Cedar,1966,1692,0,5350
Madison,1939,1498,0,4936
Emmet,1916,759,0,3453
Buchanan,1904,1713,0,5325
Hamilton,1884,1545,0,4970
Carroll,1852,2897,100,7767
Shelby,1822,1245,0,4315
Floyd,1758,1615,144,5118
Hardin,1735,1725,0,5175
Iowa,1709,1440,0,4588
Jefferson,1692,1550,95,4886
Crawford,1668,1439,1266,5806
Kossuth,1664,1809,0,5279
Plymouth,1657,2472,2233,8831
O'Brien,1627,1550,0,4735
Appanoose,1593,1051,0,3682
Mills,1568,1291,0,4151
Calhoun,1469,1184,0,3835
Jones,1404,1631,0,4711
Mitchell,1397,802,0,3003
Clarke,1363,618,1107,3685
Delaware,1362,1392,99,4243
Butler,1349,1352,0,4049
Cherokee,1323,1280,80,3961
Grundy,1295,1441,0,4179
Palo Alto,1285,936,0,3158
Guthrie,1243,998,0,3227
Union,1199,1214,0,3626
Louisa,1161,832,1389,4211
Wright,1157,1188,1286,4817
Chickasaw,1149,781,0,2707
Hancock,1149,739,0,2623
Franklin,1108,982,0,3070
Winnebago,1071,873,0,2814
Decatur,1047,595,0,2213
Sac,1040,1140,0,3320
Monroe,1038,725,99,2580
Davis,1029,790,1350,3949
Humboldt,994,747,0,2486
Lyon,956,870,0,2696
Greene,928,850,100,2726
Wayne,907,920,0,2748
Lucas,906,785,94,2561
Taylor,885,738,0,2356
Harrison,870,1159,0,3187
Montgomery,819,886,98,2688
Adair,712,546,0,1801
Adams,684,485,0,1655
Van Buren,678,210,0,1097
Ringgold,615,761,0,2125
Pocahontas,604,510,85,1708
Audubon,600,752,0,2104
Howard,598,597,0,1791
Monona,595,687,0,1964
Ida,566,560,0,1694
Fremont,484,581,0,1645
Worth,459,642,0,1740
Osceola,414,533,0,1481
Keokuk,391,593,0,1576
Out of State,264,3636,0,7561
