Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.14536928487690504,American Indian or Alaska Native
Asian,0.3954516815463807,Asian
Black,0.18466102025682058,Black
Native Hawaiian or Other Pacific Islander,0.35387177352206497,Native Hawaiian or Other Pacific Islander
Other Race,0.558544150431327,Other Race
White,0.48503959315584035,White
