County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,249984,50147,45486,527,470,57
Linn,106898,19130,17515,305,278,27
Scott,78503,16762,15380,197,185,12
Johnson,72795,12851,12032,68,63,5
Black Hawk,65075,14709,13596,277,261,16
Woodbury,54549,13494,12870,207,192,15
Dubuque,52832,12134,11258,189,177,12
Story,52055,9299,8658,43,38,5
Dallas,49153,9817,8862,86,75,11
Pottawattamie,43734,9614,8899,140,125,15
Warren,25424,4957,4407,69,64,5
Cerro Gordo,22740,4929,4608,79,67,12
Clinton,20319,4875,4453,80,72,8
Webster,20108,4862,4636,83,70,13
Muscatine,19585,4109,3823,87,78,9
Marshall,19551,4545,4222,70,63,7
Des Moines,19446,4160,3775,55,48,7
Jasper,16529,3634,3194,65,61,4
Wapello,16410,3824,3395,105,102,3
Sioux,14627,4704,4505,67,64,3
Lee,14622,3466,3147,50,37,13
Marion,14413,3324,3021,66,58,8
Buena Vista,13898,4047,3906,36,33,3
Boone,12604,2365,2172,28,26,2
Plymouth,12322,3614,3439,76,68,8
Benton,11559,2293,2045,53,43,10
Bremer,11180,2616,2417,53,47,6
Washington,10908,2354,2160,41,39,2
Carroll,10565,2627,2510,47,39,8
Henry,10132,2768,2617,35,35,0
Mahaska,9596,2112,1895,44,39,5
Dickinson,9505,1971,1834,38,32,6
Winneshiek,9215,1760,1551,26,22,4
Jones,9141,2830,2659,54,50,4
Buchanan,8612,1722,1571,26,24,2
Fayette,8471,1748,1600,31,28,3
Cedar,8302,1635,1513,21,20,1
Jackson,8291,2069,1900,37,34,3
Crawford,8184,2452,2273,35,31,4
Poweshiek,8123,1454,1314,29,27,2
Tama,7837,1980,1827,63,61,2
Hardin,7687,1652,1526,34,31,3
Clay,7673,1814,1659,25,20,5
Iowa,7459,1355,1240,23,21,2
Wright,7458,1709,1630,31,26,5
Delaware,7279,1837,1699,38,33,5
Kossuth,7229,1930,1726,54,47,7
Mills,7165,1457,1351,20,17,3
Floyd,7142,1462,1359,38,30,8
Jefferson,7115,1266,1192,31,27,4
Hamilton,6997,1709,1570,38,37,1
Madison,6993,1369,1198,17,13,4
Pending Investigation,6773,895,741,0,0,0
Butler,6496,1563,1462,30,27,3
Clayton,6416,1584,1484,53,45,8
O'Brien,6138,1770,1652,58,54,4
Union,6093,1169,1068,31,26,5
Harrison,6003,1647,1492,68,64,4
Cass,5818,1232,1092,47,45,2
Page,5801,1643,1522,17,16,1
Winnebago,5665,1273,1168,30,25,5
Cherokee,5565,1427,1356,35,29,6
Allamakee,5533,1377,1252,41,35,6
Hancock,5528,1359,1281,27,22,5
Appanoose,5527,1198,1068,46,43,3
Grundy,5337,1287,1194,30,25,5
Guthrie,5131,1071,1007,28,23,5
Mitchell,5095,1186,1136,40,38,2
Chickasaw,5031,1174,1120,13,12,1
Louisa,5012,1195,1115,41,34,7
Calhoun,4921,1269,1219,9,9,0
Shelby,4903,1129,998,32,29,3
Sac,4900,1157,1099,17,17,0
Franklin,4808,1081,1005,19,18,1
Emmet,4635,1135,1063,39,37,2
Clarke,4461,911,779,20,20,0
Humboldt,4388,1112,1033,22,19,3
Lyon,4253,1430,1336,40,36,4
Palo Alto,4139,981,899,19,17,2
Howard,4138,965,823,20,16,4
Montgomery,4107,954,830,36,34,2
Keokuk,3815,900,830,29,29,0
Greene,3804,720,688,10,10,0
Lucas,3483,689,641,19,16,3
Monona,3468,753,676,23,22,1
Worth,3432,648,614,4,3,1
Adair,3307,775,667,25,19,6
Decatur,3249,541,494,8,8,0
Pocahontas,3232,804,761,18,18,0
Monroe,3118,870,792,27,21,6
Davis,3094,745,676,23,22,1
Ida,3015,800,712,32,30,2
Van Buren,2519,533,484,17,14,3
Fremont,2457,542,510,9,7,2
Audubon,2387,457,407,9,8,1
Taylor,2349,628,590,11,9,2
Osceola,2231,662,632,14,12,2
Ringgold,2207,493,444,16,15,1
Wayne,2030,439,396,21,17,4
Adams,1456,317,295,3,3,0
