RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,535051,25059,247623,14746
19059,17167,582,8140,305
19161,8412,279,3876,381
19027,20361,590,9346,1079
19013,128630,5233,58839,5719
19017,24975,815,11521,1118
19019,18911,671,8784,672
19103,181176,5467,85244,5221
19195,6369,200,2986,197
19033,43949,1754,20174,1847
19081,8572,268,3906,492
19169,103345,4080,48117,3031
19139,39387,1583,16750,4304
19165,11407,331,5409,258
19009,5497,149,2592,164
19191,20732,564,9622,924
19065,17887,664,8297,629
19061,105720,2916,50443,1918
19147,7571,248,3538,247
19183,20641,763,9560,758
19003,3258,125,1530,73
19173,4836,147,2302,85
19041,14149,503,6617,412
19125,27447,1152,12017,2261
19123,15466,657,6976,857
19157,18177,648,8525,479
19099,35301,1420,16093,1695
19073,8312,322,3723,544
19113,248044,8879,115038,9089
19049,101490,4207,47304,2675
19193,86365,4544,38539,4743
19171,16549,734,7456,903
19109,13177,432,6075,595
19187,33765,1423,15413,1516
19011,24300,936,11203,958
19141,11474,355,5278,563
19045,40184,1660,18481,1562
19067,13772,514,6321,616
19189,8877,294,3994,595
19131,8742,295,4108,231
19029,12584,388,5898,400
19135,5853,188,2651,363
19127,39746,1691,17570,2915
19063,7856,426,3551,328
19159,4317,121,2075,46
19163,152106,6613,69918,5657
19115,8527,346,3539,1103
19149,20238,732,8680,2146
19093,5317,199,2341,436
19015,28420,999,13291,839
19075,12659,549,5778,554
19091,7846,297,3574,401
19151,5823,172,2701,249
19055,14834,495,6724,891
19101,14523,642,6567,747
19005,11289,446,5302,239
19181,50546,2187,23407,1545
19025,9551,310,4430,381
19083,15163,552,6801,1009
19069,8821,344,4036,405
19023,14236,479,6635,487
19133,7536,257,3505,269
19085,11340,600,5179,382
19137,8888,439,3950,549
19111,26387,1079,11783,1742
19037,10429,340,4664,761
19197,11452,403,5039,971
19179,26596,1165,11468,2495
19121,14671,563,6863,382
19095,16737,592,7697,751
19143,4494,115,2070,239
19051,5491,205,2551,184
19047,13755,590,5897,1371
19155,80202,4016,36971,2244
19145,13165,619,5998,550
19043,13956,367,6495,599
19057,32585,1642,14986,971
19007,9482,415,4306,455
19107,7774,256,3597,324
19077,10546,407,4877,385
19129,12442,546,5796,304
19021,18192,1033,6949,3261
19087,16651,712,7122,1695
19053,5172,219,2347,259
19097,17437,535,8243,416
19079,15270,516,7016,722
19035,10065,392,4633,407
19001,5875,256,2640,339
19175,10515,448,4882,303
19167,23150,842,10264,1780
19089,7577,315,3374,514
19119,7066,160,3346,214
19185,4446,159,2046,195
19039,7926,377,3402,745
19117,6291,225,2817,432
19031,18522,569,8624,705
19071,5222,188,2417,200
19177,4711,188,2142,239
19105,20111,610,9196,1109
,70,6,30,4
