ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,277731,262145,15586
19059,8126,7837,289
19021,11313,7444,3869
19027,11272,9999,1273
19049,48553,45730,2823
19181,18560,17397,1163
19013,75856,69437,6419
19033,27862,25735,2127
19169,53578,50301,3277
19195,1768,1767,1
19083,7664,6313,1351
19189,4575,4062,513
19081,3793,3044,749
19155,50972,45967,5005
19139,19686,14397,5289
19009,2133,2032,101
19005,5909,5780,129
19099,15532,14312,1220
19103,96576,91917,4659
19017,14219,12727,1492
19065,11192,10232,960
19061,63845,61407,2438
19041,8724,8410,314
19063,5117,4696,421
19147,3561,3384,177
19193,50382,45308,5074
19003,1695,1675,20
19173,2301,2264,37
19175,5410,5054,356
19067,7826,6598,1228
19035,5156,4784,372
19123,8278,7689,589
19183,8079,7481,598
19179,13601,12544,1057
19073,4996,4471,525
19113,134982,125311,9671
19019,6876,6496,380
19101,8618,7615,1003
19127,17662,14403,3259
19109,6591,6057,534
19187,19119,17684,1435
19037,3199,2837,362
19011,8143,7656,487
19141,5804,5385,419
19045,18983,17257,1726
19131,4698,4502,196
19029,10811,10338,473
19135,3645,3268,377
19159,2155,2149,6
19163,89078,82274,6804
19125,16631,12447,4184
19149,10293,7298,2995
19015,12172,11561,611
19091,4460,4024,436
19151,2124,1942,182
19055,5625,4803,822
19031,6641,6340,301
19167,13083,10295,2788
19143,1744,1540,204
19161,3319,3243,76
19069,3833,3551,282
19133,2410,2179,231
19075,5235,4723,512
19171,9226,8241,985
19137,3985,3379,606
19111,14786,12568,2218
19197,6843,5018,1825
19047,7947,6339,1608
19077,4768,4441,327
19093,2163,1620,543
19051,5008,3308,1700
19025,4328,4104,224
19145,7840,6985,855
19057,19625,18827,798
19007,4811,4294,517
19157,9822,9335,487
19191,9514,8443,1071
19023,4028,3835,193
19087,9698,7582,2116
19053,3054,2916,138
19097,8552,8249,303
19001,2574,2230,344
19079,7498,7072,426
19039,5782,4395,1387
19095,6409,5755,654
19119,3152,3032,120
19043,6704,6036,668
19085,3600,3329,271
19117,3908,3466,442
19107,1721,1621,100
19165,6125,5931,194
19185,3354,2945,409
19115,4836,3254,1582
19121,7237,7044,193
19177,1554,1420,134
,5211,5210,1
19105,7342,6349,993
19129,6459,6276,183
19089,2473,2227,246
19071,1724,1626,98
