Age Group Public,RECIP_ID
0 - 11,9
12 - 15,87282
16 - 17,58323
18 - 19,67831
20 - 29,341491
30 - 39,378700
40 - 49,391041
50 - 59,477468
60 - 64,295306
65+,922031
