Age Group Public,RECIP_ID
0 - 11,10
12 - 15,91256
16 - 17,59714
18 - 19,68926
20 - 29,344879
30 - 39,381845
40 - 49,394024
50 - 59,480504
60 - 64,296667
65+,923956
