RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,251597,238241,13356
19161,4119,3777,342
19027,10109,9090,1019
19013,62228,56770,5458
19017,12194,11134,1060
19019,9091,8452,639
19103,88392,83453,4939
19195,3068,2877,191
19033,21186,19444,1742
19081,4266,3800,466
19169,49717,46928,2789
19139,20214,16160,4054
19165,5490,5259,231
19009,2698,2544,154
19191,10284,9387,897
19065,8632,8035,597
19061,50893,49095,1798
19147,3679,3445,234
19183,9982,9268,714
19003,1547,1485,62
19173,2307,2230,77
19041,6813,6406,407
19125,13718,11572,2146
19123,7521,6710,811
19157,8763,8299,464
19099,17158,15563,1595
19073,4130,3612,518
19113,120008,111463,8545
19049,48012,45593,2419
19193,41314,36667,4647
19171,8107,7255,852
19109,6492,5926,566
19187,16232,14829,1403
19011,11768,10860,908
19045,19254,17781,1473
19067,6674,6117,557
19189,4455,3873,582
19131,4210,3997,213
19029,6055,5693,362
19135,2891,2566,325
19127,19707,17018,2689
19063,3779,3466,313
19159,2055,2015,40
19115,4416,3364,1052
19163,72626,67308,5318
19149,10494,8377,2117
19059,8185,7907,278
19093,2695,2282,413
19015,13626,12867,759
19141,5700,5170,530
19075,6091,5599,492
19091,3835,3463,372
19151,2846,2623,223
19055,7348,6502,846
19101,7056,6338,718
19005,5328,5097,231
19181,23943,22570,1373
19025,4654,4303,351
19083,7548,6620,928
19069,4282,3904,378
19023,6892,6447,445
19133,3654,3414,240
19085,5398,5035,363
19137,4336,3806,530
19111,12939,11363,1576
19037,5219,4513,706
19197,5790,4873,917
19179,13461,11047,2414
19121,6961,6620,341
19143,2257,2035,222
19051,2613,2451,162
19047,6989,5667,1322
19145,6322,5784,538
19043,6950,6365,585
19057,15161,14261,900
19007,4605,4181,424
19107,3790,3486,304
19077,5085,4741,344
19129,5903,5620,283
19021,9624,6614,3010
19087,8443,6834,1609
19079,7459,6779,680
19035,4879,4504,375
19001,2910,2587,323
19095,8196,7488,708
19167,11642,9946,1696
19089,3748,3274,474
19119,3456,3280,176
19185,2161,1986,175
19039,3942,3230,712
19155,37621,35455,2166
19117,3158,2746,412
19031,9017,8346,671
19175,4991,4718,273
19071,2555,2357,198
19053,2492,2258,234
19177,2297,2079,218
19097,8375,7997,378
19105,10001,8958,1043
,43,38,5
