County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,233173,45798,39883,457,413,44
Linn,100263,17799,16035,278,255,23
Scott,74123,15479,13643,166,156,10
Johnson,68736,12126,10657,51,47,4
Black Hawk,60246,13797,12404,238,225,13
Woodbury,51955,13025,11875,177,164,13
Dubuque,50218,11398,10285,153,144,9
Story,48333,8696,7827,35,31,4
Dallas,45999,8891,7597,72,61,11
Pottawattamie,41529,8992,7953,113,100,13
Warren,23688,4452,3598,38,36,2
Cerro Gordo,20912,4671,4185,71,60,11
Webster,19263,4697,4286,72,64,8
Clinton,18907,4507,3974,63,57,6
Muscatine,18534,3909,3396,78,71,7
Des Moines,18209,3819,3404,41,37,4
Marshall,17886,4278,3939,62,57,5
Jasper,15350,3228,2748,59,57,2
Wapello,14654,3447,2957,98,96,2
Sioux,13896,4553,4212,57,55,2
Lee,13693,3171,2763,31,25,6
Buena Vista,13374,3935,3610,29,26,3
Marion,13266,3049,2562,52,45,7
Plymouth,11748,3504,3253,68,62,6
Boone,11740,2189,1782,17,15,2
Benton,10790,2095,1919,50,40,10
Washington,10222,2178,1778,32,31,1
Carroll,10070,2554,2269,34,28,6
Bremer,10057,2451,2226,48,44,4
Henry,9588,2643,2412,31,31,0
Dickinson,9047,1861,1653,27,25,2
Mahaska,8997,1934,1599,37,33,4
Jones,8604,2714,2545,49,48,1
Pending Investigation,8548,934,580,0,0,0
Winneshiek,8494,1558,1317,19,17,2
Buchanan,8052,1601,1394,23,21,2
Fayette,7852,1624,1295,23,21,2
Cedar,7772,1534,1321,19,18,1
Crawford,7753,2312,2043,24,21,3
Jackson,7747,1925,1723,31,30,1
Tama,7306,1880,1675,58,56,2
Poweshiek,7284,1330,1145,24,22,2
Clay,7222,1689,1502,20,16,4
Hardin,7176,1551,1408,29,26,3
Wright,7073,1650,1488,24,22,2
Iowa,7002,1255,1103,22,21,1
Delaware,6885,1743,1572,36,32,4
Mills,6861,1364,1241,16,15,1
Kossuth,6726,1746,1515,44,41,3
Floyd,6680,1396,1230,36,28,8
Jefferson,6533,1209,948,25,22,3
Hamilton,6487,1600,1414,30,29,1
Madison,6448,1202,904,9,8,1
Clayton,6023,1514,1313,48,41,7
Butler,5992,1484,1221,24,21,3
O'Brien,5826,1697,1525,54,50,4
Union,5801,1088,991,22,21,1
Harrison,5690,1553,1351,62,58,4
Cass,5427,1133,975,42,40,2
Page,5292,1447,1333,15,14,1
Winnebago,5260,1194,1065,29,24,5
Cherokee,5251,1391,1182,27,23,4
Allamakee,5168,1292,1113,28,24,4
Appanoose,5142,1106,921,40,39,1
Hancock,5114,1304,1120,24,19,5
Grundy,4941,1213,1038,26,21,5
Mitchell,4880,1162,975,35,34,1
Guthrie,4877,1030,902,24,19,5
Louisa,4734,1150,996,30,25,5
Calhoun,4718,1227,1156,9,9,0
Sac,4664,1111,1010,15,15,0
Chickasaw,4607,1119,1008,12,11,1
Shelby,4566,1032,900,27,27,0
Franklin,4456,1026,844,18,17,1
Emmet,4407,1108,954,31,30,1
Humboldt,4160,1055,917,19,16,3
Clarke,4064,795,635,7,7,0
Lyon,4007,1354,1200,32,29,3
Palo Alto,3898,908,784,10,10,0
Howard,3775,843,659,19,15,4
Montgomery,3738,859,693,23,22,1
Greene,3635,692,629,7,7,0
Keokuk,3540,851,759,26,26,0
Monona,3244,645,529,16,15,1
Lucas,3241,650,504,9,8,1
Worth,3185,611,491,3,2,1
Adair,3122,688,563,20,16,4
Pocahontas,3103,776,675,11,11,0
Decatur,2946,489,407,4,4,0
Monroe,2892,812,596,19,16,3
Ida,2786,746,670,30,29,1
Davis,2766,691,609,21,20,1
Fremont,2330,512,450,6,4,2
Van Buren,2317,497,437,13,11,2
Taylor,2219,594,528,9,7,2
Audubon,2194,415,360,8,8,0
Osceola,2128,640,602,9,7,2
Ringgold,2049,438,344,11,10,1
Wayne,1920,414,350,21,17,4
Adams,1362,296,246,3,3,0
