RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,247624,234611,13013
19161,4085,3749,336
19027,10043,9042,1001
19013,61427,56058,5369
19017,12047,11004,1043
19019,8985,8356,629
19195,3022,2838,184
19033,20871,19178,1693
19081,4220,3763,457
19169,49181,46463,2718
19139,19987,15970,4017
19165,5447,5224,223
19009,2673,2522,151
19191,10181,9291,890
19103,87621,82800,4821
19065,8573,7993,580
19061,50507,48759,1748
19147,3636,3413,223
19183,9868,9166,702
19193,40671,36086,4585
19003,1536,1475,61
19173,2280,2207,73
19041,6742,6345,397
19125,13578,11450,2128
19123,7422,6621,801
19157,8678,8225,453
19099,16927,15352,1575
19073,4092,3579,513
19113,118617,110265,8352
19049,47384,45024,2360
19171,8020,7176,844
19109,6427,5875,552
19187,16023,14658,1365
19011,11643,10745,898
19045,18991,17556,1435
19067,6574,6054,520
19189,4412,3834,578
19131,4148,3948,200
19029,6011,5657,354
19135,2858,2541,317
19127,19378,16771,2607
19063,3745,3432,313
19159,2038,1998,40
19115,4362,3328,1034
19163,71699,66464,5235
19149,10385,8288,2097
19059,8113,7842,271
19093,2659,2258,401
19015,13472,12728,744
19141,5641,5121,520
19075,6038,5567,471
19091,3795,3437,358
19151,2809,2596,213
19055,7287,6444,843
19101,6966,6254,712
19005,5286,5060,226
19181,23660,22336,1324
19025,4610,4271,339
19083,7495,6576,919
19069,4245,3873,372
19023,6824,6388,436
19133,3639,3407,232
19085,5358,5000,358
19137,4301,3776,525
19111,12755,11220,1535
19197,5744,4838,906
19179,13237,10882,2355
19121,6887,6555,332
19143,2233,2015,218
19051,2588,2430,158
19047,6926,5609,1317
19145,6269,5735,534
19043,6913,6337,576
19057,14962,14077,885
19007,4568,4151,417
19107,3752,3450,302
19077,5020,4685,335
19129,5836,5557,279
19021,9449,6463,2986
19087,8357,6771,1586
19079,7367,6693,674
19035,4831,4468,363
19001,2881,2563,318
19037,5174,4486,688
19095,8106,7407,699
19167,11521,9860,1661
19089,3723,3258,465
19119,3428,3254,174
19185,2139,1969,170
19039,3883,3181,702
19097,8300,7928,372
19155,37049,34926,2123
19117,3107,2715,392
19031,8918,8256,662
19175,4931,4665,266
19071,2536,2338,198
19053,2464,2232,232
19177,2262,2061,201
19105,9916,8891,1025
,44,38,6
