County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,217297,40414,33380,406,370,36
Linn,94233,16319,14106,240,225,15
Scott,69215,13764,11228,146,138,8
Johnson,64081,10790,9464,47,43,4
Black Hawk,56603,12501,10870,215,202,13
Woodbury,49272,12052,10362,163,151,12
Dubuque,47451,10429,9164,135,127,8
Story,45321,7856,6830,29,25,4
Dallas,42802,7707,6331,64,54,10
Pottawattamie,39087,8065,6455,90,82,8
Warren,21970,3647,2811,33,31,2
Cerro Gordo,19529,4238,3523,59,50,9
Webster,18362,4332,3576,61,55,6
Clinton,17564,4030,3309,53,47,6
Muscatine,17219,3477,2876,73,66,7
Des Moines,17104,3434,2899,32,29,3
Marshall,16732,3938,3462,54,51,3
Jasper,14309,2810,2166,52,50,2
Wapello,13452,3042,2480,90,88,2
Sioux,13119,4267,3742,41,40,1
Lee,12775,2794,2041,24,20,4
Buena Vista,12721,3624,3045,25,22,3
Marion,12265,2615,2041,46,40,6
Plymouth,11157,3302,2751,51,45,6
Boone,10703,1809,1378,15,13,2
Benton,10207,1956,1683,36,32,4
Pending Investigation,9648,620,394,0,0,0
Washington,9493,1809,1419,27,26,1
Carroll,9457,2309,1966,27,21,6
Bremer,9394,2221,1963,41,38,3
Henry,9068,2438,1954,24,24,0
Dickinson,8590,1667,1394,15,13,2
Mahaska,8297,1653,1240,32,30,2
Jones,8123,2559,2320,44,43,1
Winneshiek,7848,1340,963,17,15,2
Buchanan,7548,1403,1168,16,15,1
Crawford,7322,2067,1760,21,18,3
Fayette,7230,1326,1033,16,15,1
Cedar,7225,1344,1065,18,17,1
Jackson,7216,1751,1509,29,28,1
Tama,6874,1734,1498,55,53,2
Clay,6809,1511,1172,11,8,3
Poweshiek,6784,1167,983,24,22,2
Hardin,6754,1423,1160,25,23,2
Wright,6733,1496,1239,16,14,2
Iowa,6538,1119,932,20,19,1
Delaware,6517,1600,1425,29,28,1
Mills,6508,1258,1079,14,13,1
Floyd,6251,1252,1034,33,25,8
Kossuth,6215,1470,1073,28,27,1
Hamilton,6090,1433,1123,22,22,0
Jefferson,5978,968,715,20,19,1
Madison,5822,914,695,8,7,1
Clayton,5578,1338,1113,39,35,4
Butler,5543,1243,1025,18,17,1
O'Brien,5506,1568,1312,50,46,4
Union,5476,1001,761,16,16,0
Harrison,5310,1389,1067,52,49,3
Cass,5058,1011,791,38,36,2
Page,5007,1335,1200,13,13,0
Winnebago,4962,1089,908,28,23,5
Allamakee,4877,1140,788,20,16,4
Cherokee,4795,1189,860,20,18,2
Hancock,4781,1145,865,24,19,5
Appanoose,4739,941,788,34,34,0
Grundy,4578,1040,859,15,12,3
Guthrie,4563,929,745,22,17,5
Calhoun,4536,1164,1060,9,9,0
Mitchell,4524,995,780,27,27,0
Louisa,4416,1035,853,24,20,4
Sac,4400,1019,852,14,14,0
Chickasaw,4277,1014,857,10,9,1
Shelby,4214,921,765,23,23,0
Franklin,4093,866,726,17,16,1
Emmet,4084,980,785,23,22,1
Humboldt,3878,932,777,18,15,3
Clarke,3709,646,485,6,6,0
Lyon,3706,1221,1031,24,22,2
Palo Alto,3670,788,657,8,8,0
Howard,3484,684,540,15,11,4
Greene,3460,632,526,7,7,0
Montgomery,3427,713,462,15,14,1
Keokuk,3281,770,608,23,23,0
Monona,3042,538,436,15,14,1
Lucas,2990,530,319,7,7,0
Pocahontas,2948,683,565,11,11,0
Worth,2926,495,366,2,2,0
Adair,2909,580,433,17,13,4
Decatur,2710,413,326,3,3,0
Ida,2613,681,484,22,21,1
Davis,2557,622,494,18,17,1
Monroe,2536,608,431,16,15,1
Van Buren,2182,447,374,11,10,1
Fremont,2177,454,376,5,3,2
Taylor,2093,528,462,8,7,1
Audubon,2034,363,296,7,7,0
Osceola,2009,606,528,7,6,1
Ringgold,1922,352,220,7,6,1
Wayne,1785,362,294,21,17,4
Adams,1259,251,170,2,2,0
,,,,1,1,0
